     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,07/10/2010-07/16/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R030,CHAMBERS STREET               ,00043306,00001511,00000118,00000467,00000834,00009658,00031988,00000052,00001150,00001700,00000152,00000658,00000000,00002012,00004114,00000361,00000160,00000000,00000162,00000000,00000000,00000000,                                                                                                                                        
R031,34TH STREET & 7TH AVENUE      ,00100324,00003739,00000239,00000865,00002464,00019460,00045546,00000056,00002748,00003251,00000402,00001321,00000000,00006100,00004391,00000987,00000213,00000000,00000376,00000000,00000000,00000000,                                                                                                                                        
R032,42ND STREET/TIMES SQUARE      ,00076155,00002569,00000213,00000821,00000159,00017711,00072042,00000030,00001606,00002979,00000388,00001545,00000000,00000250,00003287,00000644,00000270,00000000,00000253,00000000,00000000,00000000,                                                                                                                                        
R033,42ND STREET/TIMES SQUARE      ,00194474,00004604,00000432,00001496,00000721,00061766,00112306,00000102,00015135,00010977,00000787,00001700,00000000,00001057,00006616,00000983,00000368,00000000,00001268,00000000,00000000,00000000,                                                                                                                                        
R034,125TH STREET & BROADWAY       ,00013592,00000821,00000097,00000283,00000018,00006917,00014186,00000014,00000366,00001612,00000041,00000106,00000000,00000024,00001115,00000074,00000031,00000000,00000092,00000000,00000000,00000000,                                                                                                                                        
R035,168TH STREET & BROADWAY       ,00052929,00002680,00000283,00000734,00000184,00017525,00045639,00000052,00000696,00002907,00000120,00000198,00000000,00000339,00002964,00000336,00000340,00000000,00000212,00000000,00000000,00000000,                                                                                                                                        
R036,DYCKMAN STREET                ,00017430,00000910,00000115,00000319,00000002,00009008,00010073,00000030,00000250,00001150,00000015,00000051,00000000,00000007,00001374,00000009,00000007,00000000,00000027,00000000,00000000,00000000,                                                                                                                                        
R037,207TH STREET                  ,00011059,00000503,00000088,00000230,00000002,00008767,00007973,00000014,00000229,00000840,00000018,00000030,00000000,00000010,00000915,00000012,00000015,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R038,215TH STREET                  ,00004745,00000235,00000023,00000096,00000000,00001610,00003230,00000002,00000094,00000249,00000005,00000013,00000000,00000005,00000501,00000023,00000008,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R039,225TH STREET                  ,00012695,00000481,00000096,00000163,00000061,00006258,00008384,00000012,00000208,00000964,00000022,00000042,00000000,00000097,00001093,00000073,00000039,00000000,00000030,00000000,00000000,00000000,                                                                                                                                        
R040,231ST STREET                  ,00016858,00001060,00000151,00000418,00000001,00008120,00013699,00000014,00000237,00001024,00000093,00000145,00000000,00000024,00001635,00000116,00000032,00000000,00000041,00000000,00000000,00000000,                                                                                                                                        
R041,BOWLING GREEN & BATTERY PL    ,00043700,00001852,00000176,00000506,00000632,00012028,00031877,00000025,00001909,00002178,00002026,00000837,00000000,00002268,00006567,00000457,00000158,00000000,00000199,00000001,00000000,00000000,                                                                                                                                        
R042,BOWLING GREEN & BROADWAY      ,00014094,00000372,00000036,00000123,00000179,00006183,00006559,00000007,00002346,00001103,00000139,00000137,00000000,00000387,00000926,00000077,00000028,00000000,00000138,00000000,00000000,00000000,                                                                                                                                        
R043,WALL STREET                   ,00052961,00001866,00000083,00000362,00001076,00009690,00045711,00000028,00001770,00001763,00000817,00001091,00000000,00003178,00002893,00000603,00000257,00000000,00000299,00000000,00000000,00000000,                                                                                                                                        
R044,BROOKLYN BRIDGE               ,00082784,00004005,00000219,00001280,00000522,00020848,00054224,00000092,00003801,00003731,00000586,00000898,00000000,00001629,00019592,00000623,00000266,00000000,00000352,00000000,00000000,00000000,                                                                                                                                        
R045,42ND STREET & GRAND CENTRAL   ,00073788,00002378,00000097,00000386,00002451,00007780,00030283,00000019,00001624,00001369,00000203,00001047,00000000,00004595,00001461,00000916,00000166,00000000,00000237,00000000,00000000,00000000,                                                                                                                                        
R046,42ND STREET & GRAND CENTRAL   ,00203413,00006044,00000309,00001143,00003791,00034119,00110502,00000126,00007303,00005935,00000862,00002687,00000000,00008733,00006401,00002037,00000589,00000000,00000945,00000000,00000000,00000000,                                                                                                                                        
R047,42ND STREET & GRAND CENTRAL   ,00098370,00003511,00000188,00000708,00001560,00019182,00082693,00000032,00001392,00003725,00000725,00002181,00000000,00005014,00005862,00001255,00000438,00000000,00000338,00000000,00000000,00000000,                                                                                                                                        
R048,42ND STREET & 3RD AVENUE      ,00029534,00000894,00000038,00000188,00000628,00004763,00021069,00000005,00000407,00000631,00000065,00000597,00000000,00000963,00001293,00000327,00000061,00000000,00000065,00000000,00000000,00000000,                                                                                                                                        
R049,51ST STREET & LEXINGTON AVE   ,00052007,00002021,00000130,00000467,00000140,00013643,00042049,00000027,00001695,00002223,00000338,00001214,00000000,00000292,00002827,00000481,00000276,00000000,00000289,00000000,00000000,00000000,                                                                                                                                        
R050,59TH STREET & LEXINGTON AVE   ,00063880,00002775,00000158,00000704,00000324,00018215,00059123,00000049,00002134,00003198,00000371,00001067,00000000,00000887,00003640,00000624,00000214,00000000,00000367,00000000,00000000,00000000,                                                                                                                                        
R051,59TH STREET & LEXINGTON AVE   ,00076269,00003581,00000208,00000894,00000227,00024606,00071570,00000067,00002016,00004350,00000368,00000991,00000001,00000662,00004430,00000669,00000294,00000000,00000355,00000000,00000000,00000000,                                                                                                                                        
R052,WOODLAWN ROAD                 ,00012400,00000724,00000149,00000341,00000010,00006894,00008350,00000029,00000272,00001052,00000061,00000080,00000000,00000007,00001111,00000024,00000004,00000000,00000037,00000000,00000000,00000000,                                                                                                                                        
R053,149TH STREET & 3RD AVENUE     ,00041348,00001504,00000302,00000889,00000009,00030531,00023517,00000062,00000881,00004001,00000061,00000155,00000000,00000031,00005029,00000031,00000030,00000000,00000104,00000000,00000000,00000000,                                                                                                                                        
R054,FIFTH AVENUE & 42ND STREET    ,00026319,00001132,00000052,00000307,00000177,00006164,00022671,00000021,00000728,00001075,00000143,00000506,00000000,00000238,00000922,00000211,00000083,00000000,00000114,00000000,00000000,00000000,                                                                                                                                        
R055,MAIN STREET                   ,00089186,00006113,00000514,00004145,00000023,00035071,00130487,00000085,00002067,00003392,00000234,00000672,00000000,00000119,00005820,00000276,00000111,00000000,00000187,00000000,00000000,00000000,                                                                                                                                        
R056,NEVINS STREET                 ,00024121,00001254,00000189,00000490,00000024,00011202,00015881,00000070,00000573,00001937,00000086,00000109,00000000,00000080,00003460,00000070,00000037,00000000,00000092,00000000,00000000,00000000,                                                                                                                                        
R057,ATLANTIC AVENUE               ,00074624,00003031,00000361,00001118,00002693,00022767,00056984,00000086,00001307,00004049,00000184,00000587,00000000,00006702,00007128,00000460,00000245,00000000,00000378,00000000,00000000,00000000,                                                                                                                                        
R058,BERGEN STREET                 ,00008188,00000388,00000047,00000119,00000003,00002277,00009362,00000005,00000126,00000564,00000006,00000144,00000000,00000014,00001212,00000068,00000057,00000000,00000045,00000000,00000000,00000000,                                                                                                                                        
R059,GRAND ARMY PLAZA              ,00016762,00001270,00000070,00000312,00000005,00003839,00017555,00000022,00000196,00000857,00000008,00000327,00000000,00000031,00002073,00000125,00000079,00000000,00000080,00000000,00000000,00000000,                                                                                                                                        
R060,EASTERN PARKWAY               ,00010208,00000716,00000091,00000204,00000011,00003475,00010807,00000017,00000233,00000830,00000034,00000099,00000000,00000020,00001262,00000051,00000062,00000000,00000083,00000000,00000000,00000000,                                                                                                                                        
R061,NOSTRAND AVENUE               ,00008151,00000417,00000063,00000168,00000004,00004586,00005332,00000015,00000149,00000872,00000010,00000063,00000000,00000005,00000989,00000015,00000014,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R062,UTICA AVENUE                  ,00049310,00002134,00000395,00001214,00000000,00030737,00034200,00000109,00001001,00004907,00000063,00000301,00000000,00000046,00007801,00000048,00000067,00000000,00000163,00000000,00000000,00000000,                                                                                                                                        
R063,SUTTER AVENUE                 ,00017106,00000503,00000113,00000233,00000001,00008422,00007549,00000018,00000270,00001368,00000012,00000067,00000000,00000020,00001755,00000018,00000005,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R064,SARATOGA AVENUE               ,00013659,00000414,00000101,00000157,00000000,00006112,00005933,00000012,00000185,00000913,00000003,00000081,00000000,00000021,00001224,00000021,00000015,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R065,ROCKWAY AVENUE                ,00013421,00000507,00000133,00000162,00000001,00006219,00004658,00000029,00000152,00000961,00000008,00000032,00000000,00000019,00001567,00000000,00000003,00000000,00000014,00000000,00000000,00000000,                                                                                                                                        
R066,JUNIUS STREET                 ,00005037,00000223,00000029,00000078,00000000,00002765,00002034,00000013,00000072,00000510,00000002,00000025,00000000,00000000,00000532,00000011,00000005,00000000,00000005,00000000,00000000,00000000,                                                                                                                                        
R067,PENNSYLVANIA AVENUE           ,00012047,00000413,00000091,00000175,00000001,00006532,00005256,00000037,00000198,00001043,00000014,00000040,00000000,00000004,00001332,00000002,00000005,00000000,00000020,00000000,00000000,00000000,                                                                                                                                        
R068,VAN SICLEN AVENUE             ,00007465,00000219,00000040,00000073,00000003,00003586,00003231,00000012,00000099,00000677,00000015,00000026,00000000,00000000,00000916,00000006,00000001,00000000,00000007,00000000,00000000,00000000,                                                                                                                                        
R069,NEW LOTS AVENUE               ,00012126,00000445,00000125,00000203,00000001,00007320,00005878,00000029,00000189,00001351,00000015,00000032,00000000,00000004,00001722,00000005,00000009,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R070,ST GEORGE TERMINAL            ,00031829,00001209,00000063,00000270,00000003,00003326,00010387,00000028,00000420,00000403,00000261,00001220,00000000,00000003,00002168,00000386,00000029,00000000,00000053,00000000,00000000,00000000,                                                                                                                                        
R079,FIFTH AVENUE & 60TH STREET    ,00047290,00001778,00000117,00000412,00000302,00012901,00036224,00000032,00002855,00002295,00000399,00000962,00000000,00000670,00002832,00000367,00000120,00000000,00000208,00000000,00000000,00000000,                                                                                                                                        
R080,57TH STREET & 7TH AVENUE      ,00060964,00003020,00000164,00000866,00000177,00019488,00061129,00000036,00002373,00002868,00000345,00001045,00000000,00000448,00004052,00000476,00000199,00000000,00000320,00000000,00000000,00000000,                                                                                                                                        
R081,49TH STREET & 7TH AVENUE      ,00061239,00001789,00000167,00000667,00000088,00019875,00056629,00000027,00004249,00002652,00000379,00001022,00000000,00000219,00002426,00000423,00000222,00000000,00000362,00000000,00000000,00000000,                                                                                                                                        
R082,28TH STREET & BROADWAY        ,00022821,00000776,00000121,00000296,00000023,00007978,00022524,00000021,00001096,00000984,00000103,00000285,00000000,00000066,00000890,00000141,00000061,00000000,00000155,00000000,00000000,00000000,                                                                                                                                        
R083,23RD STREET & 5TH AVENUE      ,00043653,00001475,00000121,00000457,00000131,00011081,00044147,00000025,00001604,00002320,00000683,00000806,00000000,00000206,00001931,00000320,00000159,00000000,00000272,00000000,00000000,00000000,                                                                                                                                        
R084,59TH STREET/COLUMBUS CIRCLE   ,00150541,00006654,00000443,00001952,00000752,00047022,00122564,00000128,00005695,00008992,00000441,00001589,00000000,00001939,00008669,00001287,00000528,00000000,00001100,00000000,00000000,00000000,                                                                                                                                        
R085,8TH STREET & BROADWAY         ,00040414,00001583,00000112,00000452,00000147,00010760,00041662,00000034,00001707,00002204,00000195,00000474,00000001,00000328,00001458,00000271,00000148,00000000,00000299,00000000,00000000,00000000,                                                                                                                                        
R086,PRINCE STREET & BROADWAY      ,00039463,00000861,00000063,00000257,00000082,00012514,00034505,00000023,00002713,00002432,00000188,00000316,00000000,00000203,00001253,00000233,00000122,00000000,00000293,00000000,00000000,00000000,                                                                                                                                        
R087,CITY HALL                     ,00022421,00001160,00000084,00000333,00000020,00004915,00018086,00000018,00000966,00000921,00000293,00000423,00000000,00000090,00003820,00000190,00000063,00000000,00000089,00000000,00000000,00000000,                                                                                                                                        
R088,CORTLANDT STREET              ,00010429,00000188,00000014,00000064,00000016,00004086,00004875,00000001,00002159,00000522,00000117,00000078,00000000,00000037,00000349,00000032,00000019,00000000,00000072,00000000,00000000,00000000,                                                                                                                                        
R089,JAY ST-METROTECH              ,00009722,00000497,00000041,00000144,00000023,00002352,00007567,00000015,00000153,00000449,00000131,00000147,00000000,00000068,00002076,00000065,00000026,00000000,00000027,00000000,00000000,00000000,                                                                                                                                        
R090,39TH AVENUE & 31ST STREET     ,00006913,00000270,00000032,00000100,00000007,00002792,00003970,00000004,00000336,00000427,00000024,00000024,00000000,00000010,00000834,00000007,00000011,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R091,36TH AVENUE & 31ST STREET     ,00015362,00000628,00000058,00000271,00000008,00005784,00018643,00000005,00000190,00000813,00000024,00000152,00000000,00000032,00000877,00000054,00000053,00000000,00000045,00000000,00000000,00000000,                                                                                                                                        
R092,BROADWAY & 31ST STREET        ,00024891,00001366,00000090,00000356,00000010,00007475,00034259,00000014,00000361,00001339,00000019,00000173,00000000,00000031,00001694,00000085,00000116,00000000,00000106,00000000,00000000,00000000,                                                                                                                                        
R093,30TH AVENUE & 31ST STREET     ,00027641,00001088,00000115,00000392,00000021,00009513,00036631,00000029,00000383,00001368,00000021,00000160,00000000,00000051,00001866,00000111,00000082,00000000,00000070,00000000,00000000,00000000,                                                                                                                                        
R094,ASTORIA BLVD & 31ST STREET    ,00024508,00000768,00000073,00000241,00000014,00007966,00029214,00000012,00000511,00001106,00000020,00000227,00000000,00000030,00001449,00000096,00000067,00000000,00000089,00000000,00000000,00000000,                                                                                                                                        
R095,DITMARS BLVD & 31ST STREET    ,00032592,00001312,00000112,00000338,00000010,00008661,00040316,00000030,00000387,00001544,00000022,00000368,00000000,00000028,00002236,00000155,00000107,00000000,00000054,00000000,00000000,00000000,                                                                                                                                        
R096,82ND STREET-JACKSON HEIGHTS   ,00037959,00002565,00000245,00000700,00000017,00019723,00028131,00000041,00001086,00000936,00000033,00000135,00000000,00000060,00001508,00000088,00000034,00000000,00000106,00000000,00000000,00000000,                                                                                                                                        
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00059085,00001396,00000160,00000422,00000006,00029562,00027995,00000027,00000864,00001091,00000012,00000101,00000000,00000001,00001433,00000062,00000027,00000000,00000046,00000000,00000000,00000000,                                                                                                                                        
R098,CHURCH AVENUE                 ,00031091,00001379,00000284,00000792,00000008,00016953,00022885,00000096,00000448,00002473,00000040,00000137,00000000,00000013,00003047,00000037,00000055,00000000,00000071,00000000,00000000,00000000,                                                                                                                                        
R099,DEKALB AVENUE                 ,00028682,00001328,00000172,00000653,00000037,00010600,00030632,00000035,00000503,00001867,00000076,00000239,00000000,00000078,00003317,00000103,00000099,00000000,00000104,00000000,00000000,00000000,                                                                                                                                        
R100,METROPOLITAN AVENUE           ,00007509,00000248,00000022,00000160,00000000,00002722,00005150,00000001,00000075,00000352,00000006,00000094,00000000,00000003,00000869,00000037,00000011,00000000,00000017,00000000,00000000,00000000,                                                                                                                                        
R101,145TH STREET                  ,00038175,00001292,00000261,00000814,00000021,00023653,00038939,00000051,00000791,00003993,00000044,00000144,00000000,00000037,00004069,00000065,00000096,00000000,00000145,00000000,00000000,00000000,                                                                                                                                        
R102,125TH STREET                  ,00049533,00002151,00000493,00001190,00000034,00028373,00041651,00000088,00001382,00004693,00000089,00000237,00000000,00000139,00005446,00000131,00000141,00000000,00000185,00000000,00000000,00000000,                                                                                                                                        
R103,BROADWAY-EAST NEW YORK        ,00020590,00000618,00000192,00000452,00000019,00013275,00011389,00000030,00000362,00002020,00000033,00000053,00000000,00000019,00002728,00000017,00000020,00000000,00000040,00000000,00000000,00000000,                                                                                                                                        
R104,167TH ST-GRAND CONCOURSE      ,00019429,00000618,00000124,00000312,00000005,00013462,00012300,00000013,00000254,00001447,00000027,00000057,00000000,00000005,00001489,00000015,00000010,00000000,00000052,00000000,00000000,00000000,                                                                                                                                        
R105,14TH STREET & 7TH AVENUE      ,00051110,00003667,00000275,00001206,00000166,00016389,00048894,00000102,00001165,00003118,00000177,00000649,00000000,00000405,00003834,00000353,00000199,00000000,00000380,00000000,00000000,00000000,                                                                                                                                        
R106,CASTLE HILL AVENUE            ,00016780,00000610,00000114,00000288,00000000,00008824,00011378,00000025,00000236,00001328,00000044,00000101,00000000,00000006,00001859,00000048,00000022,00000000,00000056,00000000,00000000,00000000,                                                                                                                                        
R107,WESTCHESTER SQUARE            ,00009640,00000431,00000080,00000243,00000000,00005468,00007066,00000016,00000194,00000973,00000074,00000041,00000000,00000006,00001214,00000042,00000012,00000000,00000083,00000000,00000000,00000000,                                                                                                                                        
R108,BOROUGH HALL - COURT STREET   ,00082237,00005307,00000429,00001592,00000397,00020385,00066078,00000111,00001445,00003804,00000424,00001210,00000000,00001112,00011311,00000620,00000290,00000000,00000344,00000000,00000000,00000000,                                                                                                                                        
R109,CHURCH AVENUE & NOSTRAND AV   ,00020231,00000921,00000202,00000358,00000001,00010320,00010801,00000033,00000294,00001386,00000025,00000089,00000000,00000007,00001910,00000009,00000033,00000000,00000039,00000000,00000000,00000000,                                                                                                                                        
R110,FLATBUSH AVE & NOSTRAND AV    ,00031797,00001407,00000300,00000823,00000002,00016904,00027437,00000061,00000600,00002974,00000144,00000272,00000000,00000032,00005891,00000130,00000024,00000000,00000102,00000000,00000000,00000000,                                                                                                                                        
R111,23RD STREET & 8TH AVENUE      ,00044092,00002848,00000237,00001097,00000051,00012835,00041087,00000044,00001047,00002414,00000082,00000536,00000000,00000122,00003537,00000283,00000167,00000000,00000362,00000000,00000000,00000000,                                                                                                                                        
R112,FORDHAM RD/GRAND CONCOURSE    ,00024758,00000771,00000180,00000352,00000006,00014967,00013572,00000037,00000552,00001776,00000022,00000105,00000000,00000035,00001801,00000060,00000024,00000000,00000063,00000000,00000000,00000000,                                                                                                                                        
R113,SEVENTH AVENUE & WEST 53RD    ,00037793,00000923,00000076,00000219,00000587,00008879,00022998,00000011,00001445,00001278,00000106,00000618,00000000,00001039,00002599,00000341,00000092,00000000,00000377,00000000,00000000,00000000,                                                                                                                                        
R114,PARSONS BLVD & HILLSIDE AV    ,00011739,00000648,00000061,00000323,00000000,00005086,00009088,00000027,00000184,00000623,00000014,00000072,00000000,00000003,00001060,00000017,00000016,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R115,169TH STREET & HILLSIDE AVE   ,00018169,00000794,00000098,00000359,00000001,00005931,00015399,00000027,00000291,00001135,00000034,00000136,00000000,00000008,00001164,00000036,00000033,00000000,00000051,00000000,00000000,00000000,                                                                                                                                        
R116,50TH STREET & 7TH AVENUE      ,00066175,00002090,00000171,00000630,00001021,00018776,00044477,00000068,00003281,00002745,00000198,00001081,00000000,00001828,00002487,00000552,00000196,00000000,00000395,00000000,00000000,00000000,                                                                                                                                        
R117,242ND STREET & BROADWAY       ,00011739,00000438,00000064,00000188,00000005,00004990,00008773,00000019,00000226,00001979,00000024,00000068,00000000,00000020,00000831,00000041,00000010,00000000,00000032,00000000,00000000,00000000,                                                                                                                                        
R118, CANAL STREET                 ,00021521,00002923,00000061,00002380,00000021,00004281,00034039,00000025,00000684,00000669,00000076,00000244,00000000,00000073,00002404,00000055,00000057,00000000,00000062,00000000,00000000,00000000,                                                                                                                                        
R119,FORDHAM ROAD & JEROME AVE     ,00026569,00000861,00000171,00000407,00000003,00016612,00014206,00000026,00000617,00001960,00000025,00000066,00000000,00000021,00001870,00000030,00000024,00000000,00000060,00000000,00000000,00000000,                                                                                                                                        
R120,MORRISON AVE & WESTCHESTER    ,00000003,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,                                                                                                                                        
R121,QUEENSBORO PLAZA              ,00017138,00000449,00000047,00000228,00000056,00009366,00014208,00000012,00000712,00000842,00000035,00000086,00000000,00000175,00001106,00000084,00000022,00000000,00000101,00000000,00000000,00000000,                                                                                                                                        
