     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,07/10/2010-07/16/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00071186,00002072,00000278,00000898,00000479,00020775,00042020,00000058,00007783,00003823,00000587,00001105,00000000,00001181,00005800,00000574,00000109,00000000,00000428,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00018092,00000467,00000043,00000148,00000045,00004310,00012922,00000009,00000471,00000750,00000069,00000439,00000000,00000107,00003875,00000093,00000061,00000000,00000088,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00002848,00000072,00000007,00000044,00000000,00001108,00001124,00000001,00000030,00000116,00000001,00000020,00000000,00000005,00000098,00000013,00000000,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00007207,00000208,00000017,00000095,00000000,00002559,00003674,00000006,00000042,00000233,00000003,00000038,00000000,00000000,00000391,00000017,00000000,00000000,00000020,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00007994,00000324,00000016,00000111,00000000,00002406,00004562,00000001,00000059,00000274,00000004,00000058,00000000,00000010,00000290,00000006,00000022,00000000,00000014,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00007914,00000259,00000022,00000094,00000000,00003259,00004559,00000009,00000085,00000333,00000003,00000080,00000000,00000008,00000517,00000014,00000011,00000000,00000020,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00005719,00000143,00000035,00000042,00000007,00001978,00002980,00000002,00000048,00000189,00000001,00000053,00000000,00000005,00000282,00000003,00000007,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00005271,00000142,00000020,00000043,00000002,00001601,00002170,00000007,00000034,00000176,00000003,00000048,00000000,00000013,00000223,00000011,00000001,00000000,00000009,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00004346,00000132,00000012,00000057,00000003,00001792,00002072,00000008,00000040,00000212,00000002,00000017,00000000,00000001,00000242,00000019,00000008,00000000,00000000,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00068213,00002233,00000320,00000926,00000212,00022623,00048680,00000044,00003140,00003689,00000211,00000511,00000000,00000272,00002901,00000327,00000219,00000000,00000561,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00219092,00007424,00000384,00001550,00000096,00027755,00079450,00000097,00004419,00003809,00000205,00002551,00000000,00000199,00005765,00001696,00000359,00000000,00000831,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00192157,00006101,00000551,00001430,00005615,00027405,00080995,00000088,00004389,00004466,00000660,00002134,00000001,00010551,00006718,00001585,00000455,00000000,00000982,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00045376,00001570,00000212,00000628,00001256,00010084,00034069,00000033,00001225,00001774,00000299,00000565,00000000,00003750,00003364,00000345,00000179,00000000,00000256,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00087799,00002354,00000176,00000637,00001015,00018691,00063758,00000038,00003073,00003458,00000490,00001490,00000000,00002847,00008196,00000884,00000327,00000000,00000493,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00065410,00002049,00000053,00000352,00001527,00008519,00031677,00000028,00001433,00001590,00000308,00001850,00000000,00002874,00002433,00000832,00000140,00000000,00000369,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00018776,00000728,00000043,00000155,00000071,00004344,00014874,00000021,00000497,00000739,00000080,00000445,00000000,00000152,00000753,00000190,00000079,00000000,00000109,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00086483,00003616,00000187,00000863,00001089,00013798,00060794,00000038,00001342,00002302,00000312,00001967,00000000,00002427,00003139,00000915,00000326,00000000,00000506,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00085991,00005496,00000572,00002649,00000021,00039931,00111901,00000106,00001835,00003709,00000099,00000502,00000001,00000095,00006083,00000206,00000134,00000000,00000301,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00031802,00001612,00000206,00000955,00000009,00014291,00033008,00000063,00000777,00002240,00000093,00000488,00000001,00000057,00004446,00000081,00000022,00000000,00000074,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00134399,00005083,00000314,00001254,00000830,00031045,00104834,00000062,00004594,00004792,00000575,00003163,00000000,00001534,00005678,00000998,00000414,00000000,00000581,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00085043,00003109,00000238,00000962,00000141,00021641,00082943,00000050,00002257,00004176,00000497,00002009,00000000,00000269,00004703,00000621,00000304,00000000,00000387,00000000,00000000,00000000,                                                                                                                                        
R022,34TH STREET & 6TH AVENUE      ,00168906,00006399,00000531,00001861,00000866,00049732,00138968,00000128,00008271,00009124,00001811,00002440,00000000,00001709,00008504,00000764,00000372,00000000,00000786,00000000,00000000,00000000,                                                                                                                                        
R023,34TH STREET & 6TH AVENUE      ,00143958,00004439,00000409,00001244,00000764,00026788,00093080,00000057,00003079,00004072,00000333,00002651,00000000,00001511,00004603,00000988,00000478,00000000,00000592,00000000,00000000,00000000,                                                                                                                                        
R024,SUTPHIN BOULEVARD             ,00043873,00001321,00000183,00000601,00000327,00018855,00023570,00000026,00001294,00002550,00000043,00000189,00000000,00000760,00003127,00000135,00000057,00000001,00005365,00000000,00000001,00000000,                                                                                                                                        
R025,JAMAICA CENTER-PARSONS BLVD   ,00058324,00001470,00000418,00001250,00000015,00035839,00040192,00000119,00001524,00005952,00000106,00000322,00000001,00000033,00009173,00000134,00000043,00000000,00000172,00000000,00000000,00000000,                                                                                                                                        
R027,WALL STREET                   ,00060656,00001719,00000087,00000459,00002365,00008213,00047415,00000021,00001024,00001789,00000227,00001364,00000000,00007088,00003944,00000822,00000225,00000000,00000262,00000000,00000000,00000000,                                                                                                                                        
R028,FULTON & WILLIAM STREETS      ,00048304,00002098,00000140,00000607,00000528,00012396,00035947,00000042,00001623,00002045,00000166,00000782,00000000,00001575,00012933,00000328,00000187,00000000,00000228,00000000,00000000,00000000,                                                                                                                                        
R029,PARK PLACE                    ,00135041,00004226,00000296,00001103,00001464,00023907,00077541,00000085,00004982,00004520,00001269,00001882,00000000,00003673,00015992,00001045,00000380,00000000,00000794,00000000,00000000,00000000,                                                                                                                                        
