     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/09/2018-06/15/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R017,LEXINGTON AVENUE              ,00095258,00005978,00000287,00000931,00000745,00025580,00051318,00000000,00000000,00000000,00000252,00002089,00001062,00000892,00006621,00004365,00001488,00000000,00001638,00000000,00000000,00000000,00002572,00000000,00000096,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00092608,00008010,00001463,00003516,00000027,00076086,00096686,00000000,00000000,00000000,00000068,00000657,00002524,00000042,00007033,00001233,00001457,00000000,00001256,00000000,00000000,00000000,00007673,00000000,00000551,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00030386,00002296,00000499,00001061,00000014,00020827,00024671,00000000,00000000,00000000,00000038,00000614,00001031,00000011,00002878,00000518,00000304,00000000,00000139,00000000,00000000,00000000,00003005,00000000,00000173,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00146602,00008759,00000554,00001440,00000636,00053093,00085597,00000000,00000000,00000000,00000565,00003918,00001480,00000702,00015158,00005668,00002399,00000000,00002143,00000000,00000000,00000000,00002734,00000000,00000125,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00098136,00005216,00000452,00001258,00000172,00041286,00073058,00000000,00000000,00000000,00000378,00002816,00000968,00000101,00011111,00003577,00002041,00000000,00001545,00000000,00000000,00000000,00002367,00000000,00000115,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00195461,00010744,00000941,00002475,00000863,00086260,00119003,00000000,00000000,00000000,00001555,00002757,00002965,00000865,00014737,00005109,00002748,00000000,00003303,00000000,00000000,00000000,00006116,00000000,00000334,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00139820,00007431,00000637,00001501,00000597,00043084,00081232,00000000,00000000,00000000,00000261,00002766,00001601,00000604,00009321,00004970,00002192,00000000,00001633,00000000,00000000,00000000,00003111,00000000,00000158,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00049083,00002756,00000516,00000824,00000369,00035550,00021351,00000000,00000000,00000000,00000027,00000277,00001392,00000386,00002018,00000805,00000301,00000000,00011421,00000000,00000000,00000000,00002326,00000000,00000181,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00050015,00002317,00000896,00001679,00000020,00056268,00032132,00000000,00000000,00000000,00000073,00000346,00002033,00000024,00004564,00000455,00000347,00000000,00000480,00000000,00000000,00000000,00005441,00000000,00000328,00000000,                                                                                                    
R027,WALL STREET                   ,00053237,00002568,00000117,00000445,00001147,00011530,00032703,00000000,00000000,00000000,00000160,00001030,00000278,00001680,00004545,00002556,00000968,00000000,00000604,00000000,00000000,00000000,00001078,00000000,00000020,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00064220,00004091,00000327,00001089,00000547,00023573,00045255,00000000,00000000,00000000,00000148,00000983,00000629,00000668,00007931,00001989,00001223,00000000,00001141,00000000,00000000,00000000,00002217,00000000,00000038,00000000,                                                                                                    
R029,PARK PLACE                    ,00134169,00006150,00000480,00001407,00001020,00039025,00065358,00000000,00000000,00000000,00001372,00002323,00001575,00001441,00009488,00004411,00002237,00000000,00002577,00000000,00000000,00000000,00004528,00000000,00000066,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00044700,00002949,00000283,00000645,00000622,00014552,00026776,00000000,00000000,00000000,00000142,00000900,00000563,00000835,00004000,00001968,00000822,00000000,00000629,00000000,00000000,00000000,00005939,00000000,00000029,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00096124,00005929,00000477,00000994,00001694,00029149,00037496,00000000,00000000,00000000,00000289,00001231,00001311,00002497,00005258,00003931,00001149,00000000,00001150,00000000,00000000,00000000,00002591,00000000,00000041,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00098399,00005257,00000379,00001256,00000197,00038079,00073057,00000000,00000000,00000000,00000350,00002033,00000755,00000126,00009042,00003856,00002094,00000000,00001277,00000000,00000000,00000000,00001483,00000000,00000067,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00178044,00008925,00000845,00001811,00000448,00084999,00078847,00000000,00000000,00000000,00000685,00002244,00003248,00000458,00011738,00004476,00002280,00000000,00003515,00000000,00000000,00000000,00005936,00000000,00000231,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00016089,00001608,00000151,00000373,00000044,00010363,00013618,00000000,00000000,00000000,00000026,00000111,00000488,00000033,00001151,00000438,00000276,00000000,00000303,00000000,00000000,00000000,00001766,00000000,00000020,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00058221,00005047,00000657,00000984,00000126,00037241,00045553,00000000,00000000,00000000,00000106,00000482,00001986,00000116,00004068,00001416,00001325,00000000,00000731,00000000,00000000,00000000,00005061,00000000,00000056,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00012317,00001584,00000159,00000325,00000001,00011974,00007666,00000000,00000000,00000000,00000014,00000047,00000913,00000001,00000817,00000090,00000122,00000000,00000085,00000000,00000000,00000000,00002740,00000000,00000017,00000000,                                                                                                    
R037,207TH STREET                  ,00008343,00000907,00000209,00000169,00000003,00012406,00006349,00000000,00000000,00000000,00000014,00000023,00000489,00000006,00000683,00000071,00000097,00000000,00000053,00000000,00000000,00000000,00001889,00000000,00000021,00000000,                                                                                                    
R038,215TH STREET                  ,00003315,00000388,00000039,00000119,00000001,00001972,00002515,00000000,00000000,00000000,00000013,00000032,00000145,00000001,00000235,00000070,00000063,00000000,00000036,00000000,00000000,00000000,00000489,00000000,00000000,00000000,                                                                                                    
R039,225TH STREET                  ,00010016,00000820,00000099,00000150,00000053,00008059,00005101,00000000,00000000,00000000,00000006,00000056,00000314,00000031,00000619,00000123,00000123,00000000,00000079,00000000,00000000,00000000,00001647,00000000,00000012,00000000,                                                                                                    
R040,231ST STREET                  ,00015343,00001991,00000318,00000603,00000011,00012540,00011064,00000000,00000000,00000000,00000071,00000120,00000866,00000009,00001417,00000271,00000187,00000000,00000073,00000000,00000000,00000000,00002109,00000000,00000015,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00048134,00002745,00000355,00000777,00000637,00020933,00032488,00000000,00000000,00000000,00001779,00000818,00000704,00000941,00005265,00001686,00000725,00000000,00000593,00000000,00000000,00000000,00002343,00000000,00000039,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00011210,00000436,00000065,00000101,00000092,00007618,00005273,00000000,00000000,00000000,00000118,00000137,00000131,00000125,00000648,00000310,00000103,00000000,00000277,00000000,00000000,00000000,00000377,00000000,00000005,00000000,                                                                                                    
R043,WALL STREET                   ,00049799,00002502,00000193,00000374,00000493,00016542,00031482,00000000,00000000,00000000,00000847,00000900,00000422,00000908,00003740,00001820,00000757,00000000,00000652,00000000,00000000,00000000,00001407,00000000,00000023,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00076110,00005296,00000379,00001168,00000329,00031063,00044350,00000000,00000000,00000000,00000418,00001090,00001067,00000773,00006192,00002290,00001238,00000000,00001248,00000000,00000000,00000000,00003882,00000000,00000041,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00072152,00004261,00000174,00000375,00001668,00010992,00024922,00000000,00000000,00000000,00000211,00001003,00000377,00001997,00003324,00003463,00000815,00000000,00000576,00000000,00000000,00000000,00000730,00000000,00000010,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00241056,00011192,00000698,00001361,00003315,00059153,00097869,00000000,00000000,00000000,00000664,00003192,00003274,00003962,00013355,00008215,00002714,00000000,00003333,00000000,00000000,00000000,00002539,00000000,00000140,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00100946,00005394,00000308,00000816,00001129,00029277,00064403,00000000,00000000,00000000,00000499,00002217,00000465,00001798,00009903,00004430,00001708,00000000,00001137,00000000,00000000,00000000,00001550,00000000,00000067,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00032322,00001612,00000101,00000297,00000405,00007829,00019969,00000000,00000000,00000000,00000060,00000691,00000141,00000357,00002146,00001477,00000513,00000000,00000307,00000000,00000000,00000000,00000432,00000000,00000018,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00054606,00003123,00000242,00000529,00000135,00021071,00032718,00000000,00000000,00000000,00000268,00001165,00000490,00000132,00005075,00001921,00000753,00000000,00000932,00000000,00000000,00000000,00000858,00000000,00000043,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00056823,00004238,00000297,00000742,00000232,00022511,00037387,00000000,00000000,00000000,00000296,00001269,00000647,00000379,00005522,00002344,00001010,00000000,00000720,00000000,00000000,00000000,00001384,00000000,00000058,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00067359,00005134,00000420,00001046,00000178,00038908,00050407,00000000,00000000,00000000,00000268,00001112,00000665,00000223,00006739,00002146,00001283,00000000,00000727,00000000,00000000,00000000,00002823,00000000,00000088,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00010349,00000667,00000260,00000456,00000016,00010791,00005984,00000000,00000000,00000000,00000027,00000067,00000716,00000003,00000672,00000085,00000043,00000000,00000058,00000000,00000000,00000000,00000878,00000000,00000017,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00036317,00002318,00000655,00001014,00000028,00043399,00020442,00000000,00000000,00000000,00000045,00000146,00001569,00000011,00003069,00000227,00000242,00000000,00000166,00000000,00000000,00000000,00006529,00000000,00000073,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00031258,00001765,00000159,00000383,00000167,00012600,00022216,00000000,00000000,00000000,00000117,00000642,00000365,00000097,00002750,00001014,00000579,00000000,00000490,00000000,00000000,00000000,00000720,00000000,00000042,00000000,                                                                                                    
R055,MAIN STREET                   ,00087349,00009813,00001095,00005716,00000059,00057351,00096239,00000001,00000000,00000000,00000158,00000711,00003091,00000040,00004708,00001047,00000597,00000000,00000743,00000000,00000000,00000000,00008381,00000000,00000459,00000000,                                                                                                    
R056,NEVINS STREET                 ,00021641,00001898,00000377,00000531,00000025,00013333,00014749,00000000,00000000,00000000,00000084,00000180,00000561,00000023,00002313,00000446,00000414,00000000,00000223,00000000,00000000,00000000,00002386,00000000,00000042,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00100877,00006908,00001002,00001935,00001937,00047119,00065036,00000000,00000000,00000000,00000152,00000995,00001733,00002180,00008550,00003191,00001721,00000000,00001426,00000000,00000000,00000000,00011099,00000000,00000330,00000000,                                                                                                    
R058,BERGEN STREET                 ,00007022,00000559,00000054,00000132,00000001,00003316,00007012,00000000,00000000,00000000,00000010,00000110,00000104,00000002,00001206,00000260,00000260,00000000,00000101,00000000,00000000,00000000,00000564,00000000,00000007,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00014675,00002290,00000157,00000397,00000014,00005930,00012663,00000000,00000000,00000000,00000025,00000298,00000321,00000015,00002129,00000546,00000471,00000000,00000196,00000000,00000000,00000000,00002018,00000000,00000009,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00011667,00001373,00000130,00000251,00000009,00005758,00009138,00000000,00000000,00000000,00000011,00000108,00000264,00000003,00001518,00000253,00000282,00000000,00000244,00000000,00000000,00000000,00001195,00000000,00000016,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00006838,00000573,00000125,00000149,00000004,00005786,00005888,00000000,00000000,00000000,00000003,00000042,00000344,00000005,00000854,00000081,00000125,00000000,00000087,00000000,00000000,00000000,00001286,00000000,00000014,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00048898,00003479,00001185,00001490,00000008,00043687,00032563,00000000,00000000,00000000,00000052,00000406,00001475,00000026,00004662,00000334,00000685,00000000,00000283,00000000,00000000,00000000,00005935,00000000,00000254,00000000,                                                                                                    
R063,SUTTER AVENUE                 ,00010665,00000727,00000206,00000257,00000015,00008829,00005295,00000000,00000000,00000000,00000005,00000074,00000559,00000000,00000666,00000067,00000297,00000000,00000044,00000000,00000000,00000000,00002692,00000000,00000057,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00009105,00000582,00000125,00000161,00000002,00006466,00004238,00000000,00000000,00000000,00000005,00000055,00000327,00000001,00000572,00000075,00000095,00000000,00000030,00000000,00000000,00000000,00002247,00000000,00000024,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00007310,00000647,00000150,00000188,00000000,00005732,00002901,00000000,00000000,00000000,00000006,00000017,00001010,00000004,00000417,00000385,00000048,00000000,00000033,00000000,00000002,00000000,00002932,00000002,00000038,00000000,                                                                                                    
R066,JUNIUS STREET                 ,00002912,00000332,00000065,00000093,00000000,00003120,00001582,00000000,00000000,00000000,00000000,00000022,00000157,00000001,00000158,00000004,00000025,00000000,00000018,00000000,00000000,00000000,00001157,00000000,00000021,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00006814,00000490,00000116,00000149,00000001,00005478,00002571,00000000,00000000,00000000,00000014,00000025,00000324,00000000,00000424,00000027,00000051,00000000,00000018,00000000,00000000,00000000,00002174,00000000,00000036,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00004834,00000351,00000086,00000078,00000003,00003517,00002161,00000000,00000000,00000000,00000018,00000027,00000257,00000000,00000398,00000017,00000043,00000000,00000013,00000000,00000000,00000000,00001164,00000000,00000013,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00007799,00000593,00000201,00000231,00000004,00007545,00003977,00000000,00000000,00000000,00000009,00000043,00000471,00000001,00000612,00000082,00000064,00000000,00000052,00000000,00000000,00000000,00001900,00000000,00000053,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00033020,00001935,00000125,00000424,00000011,00005380,00009197,00000000,00000000,00000000,00000260,00001142,00000222,00000001,00001141,00002015,00000132,00000000,00000121,00000000,00000000,00000000,00001926,00000000,00000011,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00031040,00000949,00000101,00000251,00000125,00013121,00013803,00000000,00000000,00000000,00000140,00000355,00000280,00000045,00001939,00000809,00000376,00000000,00000531,00000000,00000000,00000000,00000499,00000000,00000022,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00046319,00002809,00000207,00000480,00000164,00017883,00024031,00000000,00000000,00000000,00000286,00000885,00000596,00000330,00003825,00001631,00000768,00000000,00000717,00000000,00000000,00000000,00000976,00000000,00000062,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00087821,00006660,00000466,00001369,00000142,00037127,00064925,00000000,00000000,00000000,00000354,00001513,00001256,00000224,00010176,00003518,00001888,00000000,00001427,00000000,00000000,00000000,00002132,00000000,00000088,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00066859,00003017,00000308,00000737,00000093,00033826,00042787,00000000,00000000,00000000,00000306,00001221,00000688,00000082,00006566,00002011,00001056,00000000,00001497,00000000,00000000,00000000,00001893,00000000,00000066,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00030872,00001220,00000168,00000370,00000039,00015460,00023596,00000000,00000000,00000000,00000096,00000519,00000327,00000032,00002819,00000918,00000727,00000000,00000688,00000000,00000000,00000000,00000547,00000000,00000039,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00056899,00002858,00000329,00000646,00000110,00025572,00043343,00000000,00000000,00000000,00000459,00000899,00000489,00000108,00005453,00002018,00001310,00000000,00001034,00000000,00000000,00000000,00001593,00000000,00000049,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00174702,00012655,00001005,00002773,00000575,00083293,00110090,00000000,00000000,00000001,00000516,00002198,00002454,00000738,00013632,00005812,00003208,00000000,00003393,00000001,00000000,00000000,00009583,00000000,00000118,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00042017,00002718,00000167,00000453,00000090,00015848,00030934,00000000,00000000,00000000,00000121,00000703,00000301,00000064,00004161,00001432,00000680,00000000,00000856,00000000,00000000,00000000,00001350,00000000,00000040,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00040806,00001339,00000133,00000252,00000042,00019151,00025435,00000000,00000000,00000000,00000152,00000511,00000256,00000060,00002986,00001090,00000742,00000000,00000910,00000000,00000000,00000000,00001252,00000000,00000035,00000000,                                                                                                    
R087,CITY HALL                     ,00014562,00001109,00000091,00000335,00000015,00005465,00010612,00000000,00000000,00000000,00000101,00000276,00000188,00000014,00001267,00000544,00000296,00000000,00000198,00000000,00000000,00000000,00000972,00000000,00000008,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00064311,00001796,00000161,00000346,00000055,00020712,00028057,00000000,00000000,00000000,00000272,00001098,00000515,00000056,00003962,00001781,00000917,00000000,00001233,00000000,00000000,00000000,00001004,00000000,00000040,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00009286,00000498,00000036,00000104,00000006,00003248,00006437,00000000,00000000,00000000,00000050,00000200,00000130,00000008,00000820,00000385,00000164,00000000,00000186,00000000,00000000,00000000,00000614,00000000,00000012,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00008372,00000636,00000115,00000155,00000012,00006031,00006739,00000000,00000000,00000000,00000022,00000108,00000228,00000015,00000804,00000187,00000205,00000000,00000166,00000000,00000000,00000000,00000704,00000000,00000035,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00027626,00001892,00000198,00000461,00000011,00013545,00030669,00000000,00000000,00000000,00000025,00000314,00000656,00000013,00004025,00000753,00001081,00000000,00000352,00000000,00000000,00000000,00002573,00000000,00000077,00000000,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00028626,00001414,00000171,00000358,00000018,00014769,00029569,00000000,00000000,00000000,00000022,00000374,00000624,00000025,00004080,00000718,00000909,00000000,00000260,00000000,00000000,00000000,00002081,00000000,00000091,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00027485,00001602,00000164,00000253,00000015,00012090,00025584,00000000,00000000,00000000,00000014,00000463,00000848,00000010,00003457,00000705,00000626,00000000,00000279,00000000,00000000,00000000,00002326,00000000,00000059,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00032224,00003394,00000560,00000818,00000026,00028131,00020718,00000000,00000000,00000000,00000018,00000178,00001396,00000008,00001403,00000284,00000328,00000000,00000347,00000000,00000000,00000000,00003780,00000000,00000280,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00050174,00001958,00000303,00000610,00000020,00046469,00021380,00000000,00000000,00000000,00000024,00000147,00000956,00000007,00001177,00000239,00000309,00000000,00000243,00000000,00000000,00000000,00005882,00000000,00000237,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00030201,00002579,00000635,00000869,00000018,00026293,00025880,00000000,00000000,00000000,00000031,00000285,00001092,00000013,00003390,00000310,00000656,00000000,00000258,00000000,00000000,00000000,00004454,00000000,00000250,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00041411,00002718,00000464,00001245,00000046,00020538,00041904,00000000,00000000,00000000,00000071,00000665,00000635,00000041,00005965,00001344,00001044,00000000,00000626,00000000,00000000,00000000,00006016,00000000,00000199,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00006319,00000442,00000081,00000194,00000000,00003976,00003987,00000000,00000000,00000000,00000008,00000105,00000156,00000000,00000373,00000167,00000047,00000000,00000024,00000000,00000000,00000000,00001209,00000000,00000015,00000000,                                                                                                    
R101,145TH STREET                  ,00038859,00002325,00000463,00000844,00000020,00040878,00041233,00000000,00000000,00000000,00000048,00000189,00000969,00000019,00004475,00000510,00000887,00000000,00000453,00000000,00000000,00000000,00005061,00000000,00000087,00000000,                                                                                                    
R102,125TH STREET                  ,00052798,00003708,00000881,00001408,00000052,00047336,00044104,00000000,00000000,00000000,00000087,00000328,00001792,00000062,00005517,00000891,00001002,00000000,00000723,00000000,00000000,00000000,00006487,00000002,00000097,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00015152,00000784,00000317,00000529,00000007,00014732,00007825,00000000,00000000,00000000,00000018,00000049,00000596,00000006,00000973,00000079,00000079,00000000,00000184,00000000,00000000,00000000,00002266,00000000,00000058,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00017122,00000912,00000220,00000319,00000004,00021441,00010257,00000000,00000000,00000001,00000004,00000032,00000581,00000002,00001274,00000064,00000130,00000000,00000109,00000000,00000001,00000000,00003194,00000000,00000029,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00051467,00005597,00000460,00001292,00000123,00024839,00035705,00000000,00000000,00000000,00000140,00000901,00000724,00000180,00005062,00002033,00001030,00000000,00000918,00000000,00000000,00000000,00002977,00000000,00000023,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00013299,00000738,00000129,00000183,00000005,00010560,00007129,00000000,00000000,00000000,00000047,00000139,00000452,00000001,00000981,00000113,00000074,00000000,00000061,00000000,00000000,00000000,00002140,00000000,00000015,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00009850,00000684,00000130,00000312,00000001,00008552,00005928,00000000,00000000,00000000,00000067,00000052,00000373,00000007,00000722,00000112,00000068,00000000,00000028,00000000,00000000,00000000,00002251,00000000,00000020,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00078383,00007889,00000769,00001621,00000374,00030356,00055155,00000000,00000000,00000000,00000363,00001028,00001446,00000504,00008183,00002600,00001402,00000000,00000846,00000000,00000000,00000000,00005828,00000000,00000125,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00018529,00001399,00000370,00000537,00000000,00014257,00010310,00000000,00000000,00000000,00000012,00000119,00000737,00000013,00001544,00000081,00000227,00000000,00000123,00000000,00000000,00000000,00002494,00000000,00000058,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00030135,00002366,00000787,00000977,00000017,00023784,00021735,00000000,00000000,00000000,00000077,00000372,00000893,00000013,00003368,00000441,00000293,00000000,00000192,00000000,00000000,00000000,00003546,00000000,00000164,00000000,                                                                                                    
