     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/09/2018-06/15/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00071952,00003004,00000451,00001237,00000310,00035573,00040071,00000000,00000000,00000000,00000436,00001087,00001092,00000445,00006419,00002293,00000814,00000000,00001499,00000000,00000000,00000000,00002444,00000000,00000065,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00003069,00000202,00000017,00000038,00000000,00002512,00001288,00000000,00000000,00000000,00000000,00000017,00000072,00000005,00000090,00000020,00000025,00000000,00000014,00000000,00000000,00000000,00000646,00000000,00000020,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007733,00000499,00000052,00000148,00000001,00005324,00003845,00000000,00000000,00000000,00000003,00000056,00000243,00000002,00000371,00000050,00000034,00000000,00000054,00000000,00000000,00000000,00002419,00000000,00000038,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008665,00000669,00000059,00000245,00000000,00005910,00004540,00000000,00000000,00000000,00000006,00000076,00000279,00000000,00000301,00000072,00000076,00000000,00000065,00000000,00000000,00000000,00001419,00000000,00000035,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008611,00000642,00000077,00000215,00000000,00008203,00005350,00000000,00000000,00000000,00000014,00000071,00000287,00000014,00000421,00000108,00000080,00000000,00000079,00000000,00000000,00000000,00001531,00000000,00000036,00000000,                                                                                                    
R007,104TH STREET                  ,00005634,00000285,00000026,00000068,00000001,00003720,00002492,00000000,00000000,00000000,00000000,00000043,00000153,00000004,00000157,00000048,00000036,00000000,00000058,00000000,00000000,00000000,00000874,00000000,00000008,00000000,                                                                                                    
R008,111TH STREET                  ,00006216,00000344,00000068,00000142,00000001,00004113,00002576,00000000,00000000,00000000,00000003,00000043,00000192,00000000,00000186,00000063,00000045,00000000,00000058,00000000,00000000,00000000,00001249,00000000,00000024,00000000,                                                                                                    
R009,121ST STREET                  ,00002628,00000164,00000010,00000053,00000002,00001989,00001282,00000000,00000000,00000000,00000000,00000038,00000115,00000000,00000113,00000035,00000024,00000000,00000025,00000000,00000000,00000000,00000292,00000000,00000004,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00092743,00004952,00000453,00001130,00000115,00051759,00048497,00000000,00000000,00000000,00000274,00000845,00001463,00000127,00005225,00002107,00001355,00000000,00002653,00000000,00000000,00000000,00005183,00000000,00000108,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00235308,00011252,00000633,00001758,00000077,00049189,00066070,00000000,00000000,00000000,00000166,00002847,00005324,00000072,00006823,00006499,00001935,00000000,00003008,00000000,00000000,00000000,00002606,00000000,00000134,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00201868,00009011,00000644,00001610,00003775,00044826,00065245,00000000,00000000,00000001,00000660,00002291,00003137,00004045,00007370,00007747,00001851,00000000,00003357,00000000,00000000,00000000,00002995,00000000,00000079,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00053301,00002499,00000247,00000685,00000874,00019382,00029032,00000000,00000000,00000000,00000280,00000839,00000532,00001221,00003404,00002101,00000826,00000000,00001133,00000000,00000000,00000000,00001016,00000000,00000018,00000000,                                                                                                    
R014,FULTON STREET                 ,00184055,00006044,00000564,00001135,00001041,00060946,00088411,00000000,00000000,00000000,00000611,00002752,00001379,00001527,00013211,00005481,00002501,00000000,00002985,00000000,00000000,00000000,00005201,00000000,00000114,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00076536,00003300,00000161,00000454,00000961,00018158,00031645,00000000,00000000,00000000,00000237,00001975,00000557,00001067,00005110,00004002,00001011,00000000,00001367,00000000,00000000,00000000,00000699,00000000,00000048,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00018421,00000992,00000066,00000176,00000091,00005878,00010860,00000000,00000000,00000000,00000089,00000346,00000123,00000097,00001560,00000734,00000288,00000000,00000238,00000000,00000000,00000000,00000291,00000000,00000016,00000000,                                                                                                    
