     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/11/2011-06/17/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00072318,00002176,00000315,00000873,00000427,00023165,00039981,00000000,00000000,00000000,00000518,00000879,00000000,00001010,00002357,00000736,00000223,00000000,00000667,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00019099,00000556,00000049,00000180,00000053,00004985,00013861,00000000,00000000,00000000,00000057,00000304,00000000,00000097,00000669,00000140,00000090,00000000,00000140,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003898,00000122,00000018,00000040,00000000,00001850,00001391,00000000,00000000,00000000,00000000,00000025,00000000,00000018,00000109,00000026,00000007,00000000,00000007,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00009074,00000324,00000016,00000123,00000005,00003533,00004360,00000000,00000000,00000000,00000003,00000068,00000000,00000002,00000210,00000036,00000019,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00010353,00000418,00000033,00000168,00000006,00003491,00005541,00000000,00000000,00000000,00000010,00000049,00000000,00000002,00000192,00000030,00000020,00000000,00000026,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00010406,00000428,00000043,00000149,00000007,00005138,00006177,00000000,00000000,00000000,00000006,00000092,00000000,00000007,00000219,00000040,00000030,00000000,00000032,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00007342,00000237,00000047,00000075,00000000,00002815,00003445,00000000,00000000,00000000,00000001,00000057,00000000,00000007,00000114,00000020,00000011,00000000,00000024,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006835,00000205,00000030,00000066,00000003,00002402,00002703,00000000,00000000,00000000,00000006,00000038,00000000,00000005,00000137,00000023,00000014,00000000,00000025,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005648,00000227,00000042,00000069,00000006,00002633,00002616,00000000,00000000,00000000,00000001,00000022,00000000,00000008,00000108,00000025,00000013,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00095132,00003269,00000348,00001090,00000153,00036171,00055282,00000000,00000000,00000000,00000204,00000475,00000000,00000223,00002061,00000667,00000394,00000000,00001224,00000000,00000000,00000000,                                                                                                                                        
