     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/11/2011-06/17/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R011,42ND STREET & 8TH AVENUE      ,00231538,00008375,00000532,00001640,00000126,00030982,00075244,00000000,00000000,00000000,00000222,00002019,00000000,00000167,00002655,00002397,00000542,00000000,00000968,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00217081,00007383,00000553,00001658,00005557,00034524,00081377,00000000,00000001,00000000,00000645,00001823,00000000,00009296,00002895,00002652,00000633,00000000,00001453,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00053909,00001954,00000247,00000783,00001434,00012981,00035520,00000000,00000000,00000000,00000270,00000489,00000000,00003342,00000995,00000586,00000253,00000000,00000388,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00096302,00002611,00000211,00000625,00000993,00021728,00060933,00000000,00000000,00000000,00000453,00001241,00000000,00002630,00002659,00001200,00000526,00000000,00000542,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00074731,00002207,00000110,00000343,00001547,00010939,00030886,00000000,00000000,00000000,00000288,00001650,00000000,00002474,00002379,00001242,00000294,00000000,00000488,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00021691,00000940,00000054,00000183,00000102,00004890,00014732,00000000,00000000,00000000,00000087,00000368,00000000,00000180,00000647,00000317,00000113,00000000,00000153,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00101160,00004389,00000219,00000846,00000992,00017383,00060447,00000000,00000000,00000000,00000280,00001664,00000000,00002176,00002650,00001624,00000450,00000000,00000719,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00101850,00006837,00000786,00002882,00000045,00049264,00117540,00000000,00000000,00000000,00000099,00000466,00000000,00000091,00004279,00000412,00000328,00000000,00000369,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00035550,00001891,00000248,00001011,00000006,00016321,00032657,00000000,00000000,00000000,00000079,00000409,00000000,00000051,00002359,00000187,00000081,00000000,00000114,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00163868,00006478,00000448,00001348,00000871,00040670,00105533,00000000,00000000,00000000,00000621,00002805,00000000,00001293,00005057,00001750,00000701,00000000,00000928,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00099718,00003751,00000271,00000979,00000115,00026842,00081425,00000000,00000000,00000000,00000416,00001813,00000000,00000270,00004468,00001023,00000521,00000000,00000545,00000000,00000000,00000000,                                                                                                                                        
R022,34TH STREET & 6TH AVENUE      ,00195034,00008124,00000694,00002098,00000915,00063014,00135201,00000000,00000000,00000000,00001636,00002043,00000000,00001454,00006204,00001300,00000728,00000000,00001073,00000000,00000000,00000000,                                                                                                                                        
R023,34TH STREET & 6TH AVENUE      ,00161473,00005698,00000482,00001389,00000681,00033595,00092179,00000000,00000000,00000000,00000335,00002033,00000000,00001251,00003471,00001647,00000698,00000000,00000797,00000000,00000000,00000000,                                                                                                                                        
R024,SUTPHIN BOULEVARD             ,00049586,00001729,00000260,00000665,00000414,00023161,00025551,00000000,00000000,00000000,00000041,00000146,00000000,00000740,00001409,00000200,00000104,00000000,00007932,00000000,00000000,00000000,                                                                                                                                        
R025,JAMAICA CENTER-PARSONS BLVD   ,00068089,00001790,00000547,00001258,00000019,00044253,00044841,00000000,00000000,00000000,00000123,00000257,00000000,00000047,00003285,00000158,00000116,00000000,00000300,00000000,00000000,00000000,                                                                                                                                        
R027,WALL STREET                   ,00068212,00001980,00000117,00000506,00002359,00010234,00046538,00000000,00000000,00000000,00000252,00001190,00000000,00006017,00002168,00001040,00000370,00000000,00000343,00000000,00000000,00000000,                                                                                                                                        
R028,FULTON & WILLIAM STREETS      ,00052523,00002323,00000171,00000683,00000508,00014192,00041659,00000000,00000000,00000000,00000163,00000542,00000000,00001441,00002433,00000553,00000401,00000000,00000310,00000000,00000000,00000000,                                                                                                                                        
R029,PARK PLACE                    ,00158877,00004969,00000399,00001298,00001595,00029468,00086885,00000000,00000000,00000000,00001324,00001696,00000000,00003217,00002646,00001806,00000747,00000000,00000996,00000000,00000000,00000000,                                                                                                                                        
R030,CHAMBERS STREET               ,00051808,00001916,00000164,00000585,00000854,00012348,00036770,00000000,00000000,00000000,00000195,00000636,00000000,00002000,00001124,00000650,00000255,00000000,00000267,00000000,00000000,00000000,                                                                                                                                        
R031,34TH STREET & 7TH AVENUE      ,00107663,00004896,00000376,00000946,00002466,00024775,00046283,00000000,00000000,00000000,00000335,00001051,00000000,00005512,00002648,00001441,00000353,00000000,00000467,00000000,00000000,00000000,                                                                                                                                        
R032,42ND STREET/TIMES SQUARE      ,00087807,00003069,00000225,00000752,00000138,00021149,00071002,00000000,00000000,00000000,00000370,00001310,00000000,00000260,00002927,00001021,00000413,00000000,00000306,00000000,00000000,00000000,                                                                                                                                        
R033,42ND STREET/TIMES SQUARE      ,00203942,00005944,00000534,00001549,00000675,00074435,00103219,00000000,00000000,00000000,00000707,00001368,00000000,00000980,00004587,00001363,00000617,00000000,00001771,00000000,00000000,00000000,                                                                                                                                        
R034,125TH STREET & BROADWAY       ,00017824,00001042,00000095,00000360,00000022,00007993,00016292,00000000,00000000,00000000,00000033,00000116,00000000,00000055,00000664,00000161,00000097,00000000,00000135,00000000,00000000,00000000,                                                                                                                                        
R035,168TH STREET & BROADWAY       ,00058720,00003387,00000320,00000829,00000148,00021090,00043960,00000000,00000000,00000000,00000087,00000150,00000000,00000347,00001586,00000503,00000355,00000000,00000258,00000000,00000000,00000000,                                                                                                                                        
R036,DYCKMAN STREET                ,00013606,00000856,00000087,00000236,00000005,00007158,00007265,00000000,00000000,00000000,00000014,00000034,00000000,00000006,00000579,00000011,00000032,00000000,00000033,00000000,00000000,00000000,                                                                                                                                        
R037,207TH STREET                  ,00010802,00000529,00000109,00000242,00000001,00009698,00008157,00000000,00000000,00000000,00000015,00000037,00000000,00000014,00000537,00000021,00000023,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R038,215TH STREET                  ,00004712,00000265,00000033,00000101,00000001,00001753,00003105,00000000,00000000,00000000,00000002,00000021,00000000,00000007,00000126,00000029,00000039,00000000,00000022,00000000,00000000,00000000,                                                                                                                                        
R039,225TH STREET                  ,00013133,00000605,00000091,00000206,00000043,00006628,00007909,00000000,00000000,00000000,00000020,00000049,00000000,00000104,00000655,00000100,00000040,00000000,00000034,00000000,00000000,00000000,                                                                                                                                        
R040,231ST STREET                  ,00022225,00001414,00000174,00000464,00000007,00010428,00016530,00000000,00000000,00000000,00000088,00000111,00000000,00000019,00000780,00000142,00000067,00000000,00000068,00000000,00000000,00000000,                                                                                                                                        
R041,BOWLING GREEN & BATTERY PL    ,00050738,00002223,00000202,00000503,00000670,00015384,00034596,00000000,00000000,00000000,00001931,00000692,00000000,00002179,00002083,00000512,00000202,00000000,00000301,00000000,00000000,00000000,                                                                                                                                        
R042,BOWLING GREEN & BROADWAY      ,00012421,00000308,00000039,00000126,00000153,00005692,00005640,00000000,00000000,00000000,00000127,00000136,00000000,00000354,00000248,00000090,00000024,00000000,00000150,00000000,00000000,00000000,                                                                                                                                        
R043,WALL STREET                   ,00060784,00002095,00000123,00000406,00000874,00011657,00044274,00000000,00000000,00000000,00000804,00000900,00000000,00002982,00001479,00000857,00000363,00000000,00000359,00000000,00000000,00000000,                                                                                                                                        
R044,BROOKLYN BRIDGE               ,00092599,00004496,00000285,00001314,00000568,00025746,00064789,00000000,00000000,00000000,00000600,00000779,00000000,00001600,00001867,00000834,00000587,00000000,00000566,00000000,00000000,00000000,                                                                                                                                        
R045,42ND STREET & GRAND CENTRAL   ,00080269,00002941,00000109,00000398,00002479,00008936,00028800,00000000,00000000,00000000,00000226,00000836,00000000,00004206,00001201,00001341,00000289,00000000,00000256,00000000,00000000,00000000,                                                                                                                                        
R046,42ND STREET & GRAND CENTRAL   ,00228149,00007283,00000387,00001255,00003664,00041260,00107374,00000000,00000000,00000001,00000868,00002382,00000000,00008209,00004362,00002770,00000942,00000000,00001333,00000000,00000000,00000000,                                                                                                                                        
R047,42ND STREET & GRAND CENTRAL   ,00110831,00004137,00000212,00000863,00001616,00022347,00077560,00000000,00000000,00000000,00000693,00001776,00000000,00004445,00004365,00001648,00000558,00000000,00000435,00000000,00000000,00000000,                                                                                                                                        
R048,42ND STREET & 3RD AVENUE      ,00031853,00001087,00000031,00000221,00000548,00005323,00020312,00000000,00000000,00000000,00000069,00000556,00000000,00000968,00001252,00000456,00000124,00000000,00000119,00000000,00000000,00000000,                                                                                                                                        
R049,51ST STREET & LEXINGTON AVE   ,00067397,00002763,00000177,00000475,00000149,00017680,00044455,00000000,00000000,00000000,00000368,00001044,00000000,00000302,00002620,00000761,00000353,00000000,00000512,00000000,00000000,00000000,                                                                                                                                        
R050,59TH STREET & LEXINGTON AVE   ,00073891,00003440,00000226,00000705,00000345,00020804,00054765,00000000,00000000,00000000,00000358,00000981,00000000,00000826,00002401,00000838,00000326,00000000,00000391,00000000,00000000,00000000,                                                                                                                                        
R051,59TH STREET & LEXINGTON AVE   ,00095045,00004534,00000271,00001004,00000269,00032191,00075461,00000000,00000000,00000000,00000373,00001006,00000000,00000688,00003595,00001107,00000427,00000000,00000547,00000000,00000000,00000000,                                                                                                                                        
R052,WOODLAWN ROAD                 ,00014873,00000782,00000187,00000350,00000003,00008628,00008413,00000000,00000000,00000000,00000021,00000065,00000000,00000011,00000603,00000074,00000007,00000000,00000049,00000000,00000000,00000000,                                                                                                                                        
R053,149TH STREET & 3RD AVENUE     ,00047610,00001842,00000374,00001010,00000006,00035530,00026760,00000000,00000000,00000000,00000053,00000119,00000000,00000034,00002449,00000071,00000052,00000000,00000132,00000000,00000000,00000000,                                                                                                                                        
R054,FIFTH AVENUE & 42ND STREET    ,00031098,00001343,00000082,00000341,00000167,00007619,00022293,00000000,00000000,00000000,00000114,00000410,00000000,00000188,00000844,00000319,00000134,00000000,00000149,00000000,00000000,00000000,                                                                                                                                        
R055,MAIN STREET                   ,00098319,00007053,00000628,00004223,00000031,00038504,00116651,00000000,00000000,00000000,00000226,00000634,00000000,00000115,00003131,00000386,00000198,00000000,00000312,00000000,00000000,00000000,                                                                                                                                        
R056,NEVINS STREET                 ,00026428,00001544,00000238,00000482,00000018,00013022,00017551,00000000,00000000,00000000,00000087,00000088,00000000,00000064,00001021,00000134,00000065,00000000,00000102,00000000,00000000,00000000,                                                                                                                                        
R057,ATLANTIC AVENUE               ,00085114,00003689,00000429,00001163,00002672,00027388,00060317,00000000,00000000,00000000,00000224,00000540,00000000,00005830,00002477,00000742,00000396,00000000,00000476,00000000,00000000,00000000,                                                                                                                                        
R058,BERGEN STREET                 ,00010058,00000490,00000058,00000129,00000005,00002972,00010765,00000000,00000000,00000000,00000004,00000124,00000000,00000026,00000492,00000115,00000069,00000000,00000070,00000000,00000000,00000000,                                                                                                                                        
R059,GRAND ARMY PLAZA              ,00018298,00001634,00000124,00000406,00000003,00004582,00017865,00000000,00000000,00000000,00000018,00000285,00000000,00000045,00000918,00000211,00000150,00000000,00000090,00000000,00000000,00000000,                                                                                                                                        
R060,EASTERN PARKWAY               ,00010294,00000811,00000086,00000240,00000007,00003959,00010666,00000000,00000000,00000000,00000019,00000077,00000000,00000013,00000596,00000053,00000099,00000000,00000084,00000000,00000000,00000000,                                                                                                                                        
R061,NOSTRAND AVENUE               ,00009090,00000461,00000101,00000140,00000001,00005329,00006235,00000000,00000000,00000000,00000013,00000035,00000000,00000007,00000357,00000022,00000026,00000000,00000047,00000000,00000000,00000000,                                                                                                                                        
R062,UTICA AVENUE                  ,00054727,00002391,00000512,00001295,00000008,00035497,00036233,00000000,00000000,00000000,00000087,00000264,00000000,00000069,00002715,00000103,00000159,00000000,00000246,00000000,00000000,00000000,                                                                                                                                        
R063,SUTTER AVENUE                 ,00018576,00000645,00000170,00000286,00000008,00010415,00007905,00000000,00000000,00000000,00000015,00000063,00000000,00000018,00000695,00000016,00000019,00000000,00000044,00000000,00000000,00000000,                                                                                                                                        
R064,SARATOGA AVENUE               ,00015073,00000456,00000115,00000196,00000003,00007300,00006160,00000000,00000000,00000000,00000007,00000059,00000000,00000009,00000471,00000022,00000056,00000000,00000045,00000000,00000000,00000000,                                                                                                                                        
R065,ROCKAWAY AVENUE               ,00014508,00000571,00000178,00000155,00000001,00007307,00005557,00000000,00000000,00000000,00000011,00000025,00000000,00000008,00000427,00000002,00000023,00000000,00000029,00000000,00000000,00000000,                                                                                                                                        
R066,JUNIUS STREET                 ,00004979,00000342,00000032,00000078,00000000,00003289,00002335,00000000,00000000,00000000,00000014,00000025,00000000,00000002,00000140,00000010,00000013,00000000,00000011,00000000,00000000,00000000,                                                                                                                                        
R067,PENNSYLVANIA AVENUE           ,00013393,00000484,00000114,00000210,00000000,00007710,00005628,00000000,00000000,00000000,00000018,00000014,00000000,00000012,00000400,00000006,00000015,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R068,VAN SICLEN AVENUE             ,00008366,00000249,00000051,00000098,00000000,00004453,00003670,00000000,00000000,00000000,00000018,00000029,00000000,00000009,00000234,00000010,00000001,00000000,00000015,00000000,00000000,00000000,                                                                                                                                        
R069,NEW LOTS AVENUE               ,00013190,00000520,00000153,00000257,00000000,00008844,00006788,00000000,00000000,00000000,00000020,00000023,00000000,00000010,00000414,00000004,00000003,00000000,00000013,00000000,00000000,00000000,                                                                                                                                        
R070,ST GEORGE TERMINAL            ,00035338,00001435,00000061,00000278,00000000,00003791,00010049,00000000,00000000,00000000,00000226,00001112,00000000,00000002,00000674,00000607,00000043,00000000,00000124,00000000,00000000,00000000,                                                                                                                                        
R079,FIFTH AVENUE & 60TH STREET    ,00055675,00002226,00000155,00000451,00000323,00015959,00034467,00000000,00000000,00000001,00000337,00000760,00000000,00000569,00002459,00000636,00000209,00000000,00000345,00000000,00000000,00000000,                                                                                                                                        
R080,57TH STREET & 7TH AVENUE      ,00069921,00003790,00000200,00000951,00000186,00021954,00057933,00000000,00000000,00000000,00000305,00000808,00000000,00000404,00003352,00000789,00000370,00000000,00000476,00000000,00000000,00000000,                                                                                                                                        
R081,49TH STREET & 7TH AVENUE      ,00069922,00002267,00000202,00000785,00000077,00023780,00053171,00000000,00000000,00000000,00000357,00000864,00000000,00000187,00002117,00000720,00000385,00000000,00000622,00000000,00000000,00000000,                                                                                                                                        
R082,28TH STREET & BROADWAY        ,00028149,00000942,00000132,00000330,00000032,00010175,00024469,00000000,00000000,00000000,00000095,00000352,00000000,00000045,00000639,00000241,00000173,00000000,00000210,00000000,00000000,00000000,                                                                                                                                        
R083,23RD STREET & 5TH AVENUE      ,00059283,00001928,00000167,00000606,00000162,00016673,00050897,00000000,00000000,00000000,00000537,00000731,00000000,00000204,00001574,00000656,00000349,00000000,00000384,00000000,00000000,00000000,                                                                                                                                        
R084,59TH STREET/COLUMBUS CIRCLE   ,00175045,00008356,00000656,00002286,00000808,00057008,00122790,00000000,00000002,00000000,00000413,00001413,00000000,00001651,00005083,00001926,00000903,00000000,00001418,00000000,00000000,00000000,                                                                                                                                        
R085,8TH STREET & BROADWAY         ,00046297,00002020,00000157,00000537,00000136,00013676,00040004,00000000,00000000,00000000,00000153,00000425,00000000,00000257,00001023,00000466,00000299,00000000,00000496,00000000,00000000,00000000,                                                                                                                                        
R086,PRINCE STREET & BROADWAY      ,00048904,00001138,00000089,00000281,00000090,00017209,00035970,00000000,00000000,00000000,00000202,00000353,00000000,00000182,00000932,00000374,00000240,00000000,00000514,00000000,00000000,00000000,                                                                                                                                        
R087,CITY HALL                     ,00024677,00001189,00000095,00000318,00000028,00005679,00017285,00000000,00000000,00000000,00000230,00000330,00000000,00000070,00000408,00000216,00000134,00000000,00000154,00000000,00000000,00000000,                                                                                                                                        
R088,CORTLANDT STREET              ,00013491,00000246,00000026,00000063,00000008,00005587,00004842,00000000,00000000,00000000,00000097,00000065,00000000,00000031,00000131,00000073,00000032,00000000,00000187,00000000,00000000,00000000,                                                                                                                                        
R089,JAY ST-METROTECH              ,00009146,00000429,00000046,00000117,00000009,00002639,00006290,00000000,00000000,00000000,00000103,00000090,00000000,00000054,00000195,00000092,00000040,00000000,00000067,00000000,00000000,00000000,                                                                                                                                        
R090,39TH AVENUE & 31ST STREET     ,00007735,00000307,00000028,00000130,00000003,00004016,00003980,00000000,00000000,00000000,00000061,00000039,00000000,00000007,00000603,00000017,00000013,00000000,00000031,00000000,00000000,00000000,                                                                                                                                        
R091,36TH AVENUE & 31ST STREET     ,00016283,00000696,00000081,00000226,00000001,00006170,00017925,00000000,00000000,00000000,00000016,00000084,00000000,00000036,00000521,00000052,00000070,00000000,00000062,00000000,00000000,00000000,                                                                                                                                        
R092,BROADWAY & 31ST STREET        ,00028087,00001494,00000117,00000386,00000018,00008748,00033707,00000000,00000000,00000000,00000021,00000169,00000000,00000029,00001166,00000152,00000173,00000000,00000147,00000000,00000000,00000000,                                                                                                                                        
R093,30TH AVENUE & 31ST STREET     ,00030989,00001391,00000107,00000430,00000002,00011228,00035911,00000000,00000000,00000000,00000020,00000141,00000000,00000042,00001202,00000247,00000224,00000000,00000103,00000000,00000000,00000000,                                                                                                                                        
R094,ASTORIA BLVD & 31ST STREET    ,00027833,00000902,00000072,00000285,00000016,00009383,00029789,00000000,00000000,00000000,00000023,00000249,00000000,00000024,00001031,00000221,00000157,00000000,00000110,00000000,00000000,00000000,                                                                                                                                        
R095,DITMARS BLVD & 31ST STREET    ,00038010,00001548,00000143,00000351,00000009,00010264,00041297,00000000,00000000,00000000,00000036,00000444,00000000,00000033,00001365,00000243,00000245,00000000,00000136,00000000,00000000,00000000,                                                                                                                                        
R096,82ND STREET-JACKSON HEIGHTS   ,00039431,00002740,00000290,00000684,00000007,00020481,00025491,00000000,00000000,00000000,00000037,00000108,00000000,00000042,00001071,00000079,00000059,00000000,00000078,00000000,00000000,00000000,                                                                                                                                        
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00063271,00001457,00000192,00000499,00000011,00032841,00027053,00000000,00000000,00000000,00000033,00000127,00000000,00000006,00000847,00000036,00000037,00000000,00000076,00000000,00000000,00000000,                                                                                                                                        
R098,CHURCH AVENUE                 ,00032617,00001552,00000348,00000881,00000004,00019373,00023229,00000000,00000000,00000000,00000042,00000133,00000000,00000017,00001483,00000059,00000090,00000000,00000111,00000000,00000000,00000000,                                                                                                                                        
R099,DEKALB AVENUE                 ,00033780,00001661,00000188,00000733,00000031,00012152,00031040,00000000,00000000,00000000,00000095,00000281,00000000,00000068,00001316,00000224,00000236,00000000,00000172,00000000,00000000,00000000,                                                                                                                                        
R100,METROPOLITAN AVENUE           ,00008638,00000357,00000026,00000156,00000000,00003175,00005318,00000000,00000000,00000000,00000005,00000081,00000000,00000001,00000218,00000078,00000008,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R101,145TH STREET                  ,00044079,00001537,00000346,00000793,00000030,00029186,00042479,00000000,00000000,00000000,00000041,00000152,00000000,00000054,00001740,00000149,00000218,00000000,00000184,00000000,00000000,00000000,                                                                                                                                        
R102,125TH STREET                  ,00056572,00002480,00000545,00001232,00000032,00035105,00044979,00000000,00000000,00000001,00000087,00000204,00000000,00000118,00002103,00000244,00000252,00000000,00000332,00000000,00000000,00000000,                                                                                                                                        
R103,BROADWAY-EAST NEW YORK        ,00018590,00000572,00000163,00000347,00000000,00011521,00009401,00000000,00000000,00000000,00000022,00000044,00000000,00000017,00000546,00000016,00000025,00000000,00000042,00000000,00000000,00000000,                                                                                                                                        
R104,167TH ST-GRAND CONCOURSE      ,00021193,00000691,00000111,00000287,00000000,00014995,00012353,00000000,00000000,00000000,00000035,00000058,00000000,00000012,00000847,00000024,00000021,00000000,00000073,00000000,00000000,00000000,                                                                                                                                        
R105,14TH STREET & 7TH AVENUE      ,00060481,00004600,00000344,00001295,00000195,00020532,00050371,00000000,00000000,00000000,00000163,00000600,00000000,00000353,00002214,00000555,00000295,00000000,00000470,00000000,00000000,00000000,                                                                                                                                        
R106,CASTLE HILL AVENUE            ,00016571,00000614,00000158,00000222,00000000,00008795,00009397,00000000,00000000,00000000,00000049,00000039,00000000,00000007,00000694,00000062,00000018,00000000,00000044,00000000,00000000,00000000,                                                                                                                                        
R107,WESTCHESTER SQUARE            ,00011426,00000529,00000100,00000289,00000001,00006784,00007834,00000000,00000000,00000000,00000073,00000052,00000000,00000010,00000381,00000053,00000018,00000000,00000098,00000000,00000000,00000000,                                                                                                                                        
R108,BOROUGH HALL - COURT STREET   ,00091439,00006331,00000527,00001712,00000443,00024635,00069730,00000000,00000000,00000000,00000414,00001034,00000000,00001119,00002996,00000909,00000503,00000000,00000451,00000000,00000000,00000000,                                                                                                                                        
R109,CHURCH AVENUE & NOSTRAND AV   ,00022755,00001101,00000213,00000496,00000006,00012576,00012274,00000000,00000000,00000000,00000014,00000084,00000000,00000014,00000871,00000012,00000059,00000000,00000084,00000000,00000000,00000000,                                                                                                                                        
R110,FLATBUSH AVE & NOSTRAND AV    ,00036982,00001608,00000429,00000869,00000017,00020731,00029975,00000000,00000000,00000000,00000148,00000259,00000000,00000043,00002384,00000199,00000081,00000000,00000146,00000000,00000000,00000000,                                                                                                                                        
R111,23RD STREET & 8TH AVENUE      ,00057675,00003821,00000277,00001223,00000047,00018774,00047704,00000000,00000000,00000000,00000132,00000525,00000000,00000109,00001756,00000497,00000413,00000000,00000594,00000000,00000000,00000000,                                                                                                                                        
R112,FORDHAM RD/GRAND CONCOURSE    ,00027261,00000891,00000188,00000360,00000009,00016881,00013718,00000000,00000000,00000000,00000017,00000070,00000000,00000050,00000793,00000059,00000020,00000000,00000062,00000000,00000000,00000000,                                                                                                                                        
R113,SEVENTH AVENUE & WEST 53RD    ,00045369,00001136,00000082,00000247,00000630,00011495,00023099,00000000,00000000,00000000,00000136,00000626,00000000,00000905,00002494,00000584,00000187,00000000,00000497,00000000,00000000,00000000,                                                                                                                                        
R114,PARSONS BLVD & HILLSIDE AV    ,00012886,00000657,00000090,00000340,00000000,00005653,00009466,00000000,00000000,00000000,00000007,00000070,00000000,00000005,00000559,00000052,00000034,00000000,00000044,00000000,00000000,00000000,                                                                                                                                        
R115,169TH STREET & HILLSIDE AVE   ,00019530,00000929,00000117,00000380,00000000,00006615,00015850,00000000,00000000,00000000,00000030,00000095,00000000,00000022,00000508,00000070,00000067,00000000,00000086,00000000,00000000,00000000,                                                                                                                                        
R116,50TH STREET & 7TH AVENUE      ,00070885,00002690,00000275,00000668,00000962,00019867,00042465,00000000,00000000,00000000,00000215,00000854,00000000,00001671,00002181,00000902,00000309,00000000,00000457,00000000,00000000,00000000,                                                                                                                                        
R117,242ND STREET & BROADWAY       ,00014746,00000598,00000078,00000188,00000004,00006026,00009906,00000000,00000000,00000000,00000033,00000083,00000000,00000013,00000499,00000140,00000016,00000000,00000055,00000000,00000000,00000000,                                                                                                                                        
R118,CANAL STREET                  ,00022112,00003048,00000061,00002164,00000021,00004798,00031168,00000000,00000000,00000000,00000083,00000216,00000000,00000073,00000609,00000131,00000092,00000000,00000099,00000000,00000000,00000000,                                                                                                                                        
R119,FORDHAM ROAD & JEROME AVE     ,00030133,00000922,00000204,00000363,00000006,00019503,00014041,00000000,00000000,00000000,00000022,00000043,00000000,00000012,00000868,00000038,00000052,00000000,00000065,00000000,00000000,00000000,                                                                                                                                        
R120,MORRISON AVE & WESTCHESTER    ,00029301,00000968,00000173,00000259,00000009,00018289,00011722,00000000,00000000,00000000,00000025,00000102,00000000,00000006,00000544,00000023,00000043,00000000,00000074,00000000,00000000,00000000,                                                                                                                                        
R121,QUEENSBORO PLAZA              ,00019753,00000497,00000087,00000255,00000047,00010865,00016523,00000000,00000000,00000000,00000061,00000092,00000000,00000154,00000631,00000099,00000114,00000000,00000143,00000000,00000000,00000000,                                                                                                                                        
