     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,02/15/2020-02/21/2020,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R001,WHITEHALL STREET              ,00054734,00002797,00000433,00001112,00000090,00029231,00030947,00000405,00000633,00000735,00000288,00005009,00001771,00000745,00000000,00001743,00000000,00000000,00000000,00001585,00000000,00000631,00000000,00000412,00000393,00000431,                                                                                                    
R003,CYPRESS HILLS                 ,00002624,00000165,00000005,00000035,00000000,00002256,00001004,00000000,00000013,00000083,00000005,00000055,00000010,00000021,00000000,00000017,00000000,00000000,00000000,00000314,00000000,00000034,00000000,00000078,00000078,00000042,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00006770,00000433,00000036,00000140,00000004,00004601,00003264,00000005,00000025,00000243,00000003,00000240,00000057,00000072,00000000,00000061,00000000,00000000,00000000,00000836,00000000,00000076,00000000,00000170,00000165,00000110,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00007675,00000569,00000104,00000228,00000000,00004896,00003944,00000005,00000045,00000279,00000000,00000219,00000070,00000056,00000000,00000062,00000000,00000000,00000000,00000937,00000000,00000141,00000000,00000192,00000084,00000182,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00007409,00000560,00000107,00000164,00000004,00006913,00004408,00000013,00000051,00000232,00000005,00000242,00000094,00000043,00000000,00000061,00000000,00000000,00000000,00001060,00000000,00000143,00000000,00000174,00000160,00000097,                                                                                                    
R007,104TH STREET                  ,00004966,00000314,00000029,00000081,00000000,00003699,00002263,00000003,00000027,00000151,00000009,00000110,00000053,00000022,00000000,00000063,00000000,00000000,00000000,00000610,00000000,00000101,00000000,00000086,00000056,00000063,                                                                                                    
R008,111TH STREET                  ,00004230,00000208,00000052,00000084,00000007,00002822,00001680,00000006,00000017,00000107,00000001,00000113,00000036,00000035,00000000,00000037,00000000,00000000,00000000,00000501,00000000,00000062,00000000,00000067,00000053,00000049,                                                                                                    
R009,121ST STREET                  ,00003926,00000265,00000045,00000127,00000002,00003036,00002011,00000002,00000034,00000108,00000001,00000137,00000051,00000043,00000000,00000058,00000000,00000000,00000000,00000457,00000000,00000068,00000000,00000068,00000050,00000054,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00072192,00004712,00000428,00001142,00000070,00043739,00044828,00000383,00000544,00000979,00000101,00004749,00001874,00001430,00000000,00002676,00000000,00000000,00000000,00003019,00000000,00000406,00000000,00000698,00000641,00000609,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00202292,00010720,00000670,00001708,00000074,00044997,00061124,00000255,00001900,00004674,00000042,00006121,00006377,00002051,00000000,00002808,00000000,00000000,00000000,00002672,00000000,00000408,00000000,00000973,00000596,00000665,                                                                                                    
