     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/07/2019-12/13/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R012,34TH STREET & 8TH AVENUE      ,00226126,00010248,00000716,00001571,00002104,00048199,00059832,00000277,00001908,00003530,00003819,00007585,00010124,00002416,00000000,00004246,00000000,00000000,00000000,00003591,00000000,00000700,00000000,00000818,00000653,00000576,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00060091,00002650,00000316,00000650,00000468,00020829,00027223,00000204,00000800,00000497,00001149,00004371,00002622,00000909,00000000,00001580,00000000,00000000,00000000,00000972,00000000,00000364,00000000,00000320,00000276,00000314,                                                                                                    
R014,FULTON STREET                 ,00175144,00006171,00000613,00001283,00000501,00062483,00079576,00000629,00002375,00001175,00001274,00014428,00005648,00002788,00000000,00003415,00000000,00000000,00000000,00006961,00000000,00002335,00000000,00001151,00000944,00000672,                                                                                                    
R015,FIFTH AVENUE                  ,00098718,00004550,00000191,00000585,00000536,00022993,00031815,00000216,00001792,00000747,00000948,00005505,00005730,00001431,00000000,00002088,00000000,00000000,00000000,00000887,00000000,00000266,00000000,00000215,00000132,00000215,                                                                                                    
R016,LEXINGTON AVENUE              ,00022554,00001260,00000073,00000207,00000054,00006691,00009782,00000101,00000399,00000156,00000148,00001708,00001128,00000407,00000000,00000307,00000000,00000000,00000000,00000397,00000000,00000082,00000000,00000074,00000098,00000086,                                                                                                    
R017,LEXINGTON AVENUE              ,00106183,00006794,00000346,00001016,00000377,00029280,00047334,00000285,00001750,00001129,00000830,00006683,00005567,00001905,00000000,00002028,00000000,00000000,00000000,00004498,00000000,00000200,00000000,00000378,00000260,00000280,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00088898,00008022,00001488,00003579,00000018,00077899,00087274,00000088,00000560,00002762,00000036,00006573,00001425,00001697,00000000,00001253,00000000,00000000,00000000,00010800,00000000,00001695,00000000,00000870,00000781,00001180,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00030631,00002248,00000545,00001184,00000022,00021099,00023712,00000048,00000476,00000965,00000018,00002672,00000730,00000347,00000000,00000253,00000000,00000000,00000000,00004316,00000000,00000689,00000000,00000359,00000346,00000305,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00222760,00012096,00000801,00001698,00000502,00085216,00092326,00000556,00003899,00002465,00000559,00018964,00008424,00003413,00000000,00005127,00000000,00000000,00000000,00003729,00000000,00000813,00000000,00001251,00000830,00000902,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00121010,00005443,00000519,00001200,00000135,00051724,00069560,00000613,00002412,00000983,00000106,00011721,00004680,00002457,00000000,00002495,00000000,00000000,00000000,00002430,00000000,00000552,00000000,00000660,00000583,00000568,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00214005,00012226,00001222,00002517,00000480,00099800,00108023,00000909,00002189,00003273,00000717,00013719,00006138,00003161,00000000,00004894,00000000,00000000,00000000,00005059,00000000,00001220,00000000,00001711,00001255,00001437,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00156582,00008021,00000650,00001537,00000435,00050186,00077022,00000278,00002387,00001893,00000526,00009631,00006356,00002772,00000000,00002314,00000000,00000000,00000000,00002868,00000000,00000441,00000000,00000686,00000606,00000645,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00045349,00002793,00000469,00000775,00000217,00033011,00019708,00000035,00000256,00001238,00000333,00001743,00000981,00000369,00000000,00012958,00000000,00000000,00000000,00003524,00000000,00000848,00000000,00000451,00000586,00000393,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00043959,00002368,00000926,00001575,00000011,00050799,00028803,00000073,00000229,00001711,00000020,00003623,00000352,00000436,00000000,00000475,00000000,00000000,00000000,00007726,00000000,00002012,00000000,00000901,00001027,00000752,                                                                                                    
R027,WALL STREET                   ,00065494,00002981,00000193,00000548,00000485,00019016,00032954,00000163,00000986,00000400,00001282,00005331,00002990,00001306,00000000,00001151,00000000,00000000,00000000,00001797,00000000,00000141,00000000,00000206,00000154,00000146,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00065417,00004515,00000435,00001184,00000205,00027729,00042143,00000151,00000839,00000612,00000558,00006759,00002261,00001438,00000000,00001380,00000000,00000000,00000000,00003599,00000000,00000290,00000000,00000481,00000358,00000305,                                                                                                    
R029,PARK PLACE                    ,00136796,00006390,00000542,00001483,00000485,00044748,00061192,00001497,00001940,00001329,00001059,00008391,00005196,00002647,00000000,00003095,00000000,00000000,00000000,00007786,00000000,00007029,00000000,00000971,00000714,00000682,                                                                                                    
R030,CHAMBERS STREET               ,00048563,00003466,00000349,00000660,00000317,00018182,00025406,00000269,00000635,00000526,00000582,00003552,00002349,00000989,00000000,00000677,00000000,00000000,00000000,00011288,00000000,00005189,00000000,00000545,00000484,00000431,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00119988,00007128,00000519,00001126,00001068,00032361,00034687,00000261,00001038,00001335,00002397,00004580,00005641,00001353,00000000,00001589,00000000,00000000,00000000,00003042,00000000,00000624,00000000,00000705,00000710,00000394,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00110327,00005959,00000529,00001234,00000165,00042673,00064937,00000387,00001843,00000804,00000143,00009073,00004565,00002298,00000000,00001797,00000000,00000000,00000000,00001568,00000000,00000352,00000000,00000474,00000484,00000453,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00176235,00009094,00000935,00001573,00000427,00078954,00063054,00001085,00001880,00003035,00000383,00010851,00005335,00002417,00000000,00004291,00000000,00000000,00000000,00005760,00000000,00000980,00000000,00000854,00000836,00000750,                                                                                                    
R034,125TH STREET & BROADWAY       ,00017648,00001761,00000152,00000369,00000019,00011336,00011268,00000035,00000080,00000478,00000032,00001071,00000518,00000396,00000000,00000319,00000000,00000000,00000000,00002227,00000000,00000159,00000000,00000260,00000334,00000224,                                                                                                    
R035,168TH STREET & BROADWAY       ,00043185,00003503,00000456,00000693,00000062,00026045,00030150,00000084,00000253,00001162,00000089,00003254,00001423,00001126,00000000,00000625,00000000,00000000,00000000,00006789,00000000,00000344,00000000,00000634,00000630,00000388,                                                                                                    
R036,DYCKMAN STREET                ,00012028,00001724,00000231,00000383,00000006,00012229,00007603,00000021,00000060,00000841,00000000,00000837,00000118,00000162,00000000,00000086,00000000,00000000,00000000,00004058,00000000,00000297,00000000,00000485,00000476,00000255,                                                                                                    
R037,207TH STREET                  ,00007775,00000927,00000233,00000179,00000002,00012300,00006126,00000019,00000027,00000433,00000006,00000628,00000059,00000057,00000000,00000071,00000000,00000000,00000000,00002718,00000000,00000325,00000000,00000236,00000518,00000277,                                                                                                    
R038,215TH STREET                  ,00003364,00000486,00000052,00000139,00000004,00002300,00002432,00000003,00000044,00000128,00000000,00000287,00000100,00000090,00000000,00000047,00000000,00000000,00000000,00000574,00000000,00000061,00000000,00000057,00000083,00000055,                                                                                                    
R039,225TH STREET                  ,00010204,00000916,00000110,00000177,00000038,00008687,00005132,00000018,00000035,00000447,00000032,00000651,00000145,00000175,00000000,00000069,00000000,00000000,00000000,00002513,00000000,00000278,00000000,00000378,00000327,00000195,                                                                                                    
R040,231ST STREET                  ,00015977,00002111,00000349,00000669,00000001,00013823,00011750,00000086,00000111,00000835,00000007,00001311,00000307,00000212,00000000,00000091,00000000,00000000,00000000,00003013,00000000,00000336,00000000,00000372,00000484,00000372,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00046881,00003271,00000354,00000781,00000211,00021491,00027512,00002095,00000635,00000564,00000630,00004957,00001793,00000776,00000000,00000752,00000000,00000000,00000000,00004307,00000000,00000287,00000000,00000403,00000290,00000321,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00009052,00000434,00000072,00000095,00000033,00006456,00003552,00000261,00000082,00000078,00000082,00000556,00000238,00000113,00000000,00000357,00000000,00000000,00000000,00000484,00000000,00000116,00000000,00000075,00000103,00000050,                                                                                                    
R043,WALL STREET                   ,00049473,00002721,00000143,00000417,00000212,00020006,00029584,00000733,00000625,00000338,00000743,00004079,00001951,00000926,00000000,00000945,00000000,00000000,00000000,00002302,00000000,00000131,00000000,00000339,00000263,00000162,                                                                                                    
R044,BROOKLYN BRIDGE               ,00069675,00005669,00000370,00001220,00000131,00030724,00039663,00000319,00000652,00000846,00000609,00003753,00002312,00001425,00000000,00001398,00000000,00000000,00000000,00005932,00000000,00001563,00000000,00000757,00000477,00000461,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00076333,00005136,00000195,00000387,00000833,00011498,00020604,00000211,00000949,00000462,00001546,00003425,00003624,00000898,00000000,00000709,00000000,00000000,00000000,00000809,00000000,00000123,00000000,00000161,00000154,00000111,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00233225,00012716,00000694,00001349,00001607,00060391,00081243,00000685,00002545,00002823,00003519,00014199,00009099,00003071,00000000,00003891,00000000,00000000,00000000,00002953,00000000,00000584,00000000,00000749,00000657,00000498,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00119204,00007506,00000484,00001148,00000560,00038560,00063312,00000519,00001897,00000663,00001452,00010949,00005215,00002212,00000000,00001720,00000000,00000000,00000000,00002247,00000000,00000348,00000000,00000606,00000535,00000449,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00038332,00002219,00000127,00000322,00000204,00009836,00019720,00000083,00000633,00000225,00000326,00002509,00001924,00000699,00000000,00000380,00000000,00000000,00000000,00000571,00000000,00000095,00000000,00000117,00000100,00000096,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00066569,00003917,00000248,00000571,00000095,00023760,00030081,00000342,00001119,00000463,00000104,00006225,00002858,00001106,00000000,00001442,00000000,00000000,00000000,00001247,00000000,00000170,00000000,00000271,00000248,00000217,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00060184,00004854,00000330,00000747,00000185,00023216,00033595,00000343,00001027,00000675,00000315,00005679,00002840,00001084,00000000,00000814,00000000,00000000,00000000,00001676,00000000,00000229,00000000,00000242,00000292,00000263,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00070714,00006377,00000486,00001104,00000080,00041373,00044640,00000243,00000931,00000724,00000215,00006266,00002836,00001385,00000000,00000944,00000000,00000000,00000000,00004717,00000000,00000433,00000000,00000576,00000536,00000535,                                                                                                    
R052,WOODLAWN ROAD                 ,00008833,00000569,00000247,00000328,00000005,00009182,00005382,00000019,00000042,00000573,00000005,00000648,00000136,00000045,00000000,00000033,00000000,00000000,00000000,00001316,00000000,00000423,00000000,00000159,00000245,00000151,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00035169,00002146,00000649,00000928,00000011,00038487,00018288,00000047,00000122,00001416,00000008,00002673,00000400,00000243,00000000,00000235,00000000,00000000,00000000,00010197,00000002,00001188,00000000,00001328,00001939,00001069,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00041534,00002045,00000176,00000383,00000102,00017314,00021701,00000206,00000612,00000405,00000093,00003267,00001536,00000782,00000000,00000796,00000000,00000000,00000000,00000836,00000000,00000174,00000000,00000154,00000106,00000155,                                                                                                    
R055,MAIN STREET                   ,00083023,00009861,00001169,00005857,00000037,00059703,00086127,00000155,00000638,00002907,00000027,00004093,00001094,00000629,00000000,00000744,00000000,00000000,00000000,00011461,00000000,00002388,00000000,00000842,00000700,00001502,                                                                                                    
R056,NEVINS STREET                 ,00019540,00001738,00000407,00000495,00000021,00012933,00013849,00000066,00000164,00000454,00000029,00002615,00000539,00000513,00000000,00000321,00000000,00000000,00000000,00003917,00000000,00000252,00000000,00000363,00000390,00000177,                                                                                                    
R057,BARCLAYS CENTER               ,00100039,00007191,00001065,00002021,00000834,00052350,00059610,00000178,00000796,00001895,00001707,00008523,00003253,00002033,00000000,00001910,00000000,00000000,00000000,00019612,00000000,00001148,00000000,00001197,00001097,00000834,                                                                                                    
R058,BERGEN STREET                 ,00009164,00000695,00000069,00000167,00000005,00004382,00007764,00000011,00000138,00000097,00000002,00001530,00000455,00000317,00000000,00000167,00000000,00000000,00000000,00000905,00000000,00000025,00000000,00000078,00000068,00000034,                                                                                                    
R059,GRAND ARMY PLAZA              ,00016228,00002653,00000201,00000400,00000004,00007020,00012850,00000013,00000237,00000398,00000022,00002416,00000684,00000561,00000000,00000251,00000000,00000000,00000000,00002713,00000000,00000092,00000000,00000098,00000075,00000057,                                                                                                    
R060,EASTERN PARKWAY               ,00008651,00001065,00000138,00000207,00000003,00005175,00007447,00000009,00000102,00000170,00000004,00001460,00000284,00000257,00000000,00000200,00000000,00000000,00000000,00001253,00000000,00000034,00000000,00000071,00000052,00000048,                                                                                                    
R061,NOSTRAND AVENUE               ,00007155,00000584,00000161,00000146,00000002,00006632,00005743,00000004,00000047,00000248,00000003,00000979,00000092,00000171,00000000,00000125,00000000,00000000,00000000,00002090,00000000,00000238,00000000,00000169,00000158,00000080,                                                                                                    
R062,UTICA AVENUE                  ,00042174,00003093,00001166,00001338,00000006,00039090,00029467,00000048,00000245,00001156,00000022,00004092,00000431,00000761,00000000,00000289,00000000,00000000,00000000,00008687,00000000,00001187,00000000,00001033,00001056,00000685,                                                                                                    
R063,SUTTER AVENUE                 ,00012763,00001079,00000290,00000272,00000009,00010690,00005736,00000006,00000035,00000593,00000000,00000637,00000054,00000212,00000000,00000062,00000000,00000000,00000000,00003996,00000000,00000375,00000000,00000376,00000340,00000213,                                                                                                    
R064,SARATOGA AVENUE               ,00010426,00000624,00000210,00000203,00000001,00008020,00004668,00000003,00000063,00000290,00000000,00000506,00000050,00000109,00000000,00000039,00000000,00000000,00000000,00003342,00000002,00000261,00000000,00000301,00000263,00000106,                                                                                                    
R065,ROCKAWAY AVENUE               ,00008402,00001112,00000207,00000317,00000003,00006526,00003393,00000016,00000018,00000505,00000006,00000428,00000042,00000056,00000000,00000024,00000000,00000001,00000000,00004527,00000004,00000245,00000000,00000574,00000387,00000187,                                                                                                    
R066,JUNIUS STREET                 ,00003013,00000392,00000078,00000123,00000000,00003623,00001792,00000000,00000013,00000171,00000000,00000156,00000007,00000012,00000000,00000029,00000000,00000000,00000000,00001537,00000000,00000141,00000000,00000188,00000186,00000061,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00008169,00000637,00000196,00000191,00000001,00006713,00003215,00000020,00000025,00000417,00000000,00000473,00000038,00000065,00000000,00000039,00000000,00000000,00000000,00003274,00000000,00000229,00000000,00000356,00000288,00000099,                                                                                                    
R068,VAN SICLEN AVENUE             ,00005176,00000402,00000050,00000123,00000000,00004107,00002173,00000003,00000023,00000273,00000000,00000347,00000018,00000035,00000000,00000025,00000001,00000000,00000000,00001503,00000000,00000134,00000000,00000185,00000191,00000058,                                                                                                    
R069,NEW LOTS AVENUE               ,00008856,00000644,00000244,00000246,00000006,00008365,00004453,00000014,00000043,00000370,00000001,00000584,00000072,00000056,00000000,00000065,00000000,00000000,00000000,00002597,00000000,00000263,00000000,00000363,00000272,00000137,                                                                                                    
R070,ST GEORGE TERMINAL            ,00026142,00001680,00000076,00000346,00000000,00003920,00007227,00000180,00000846,00000124,00000005,00000788,00002157,00000172,00000000,00000076,00000000,00000000,00000000,00003218,00000000,00000248,00000000,00000151,00000050,00000111,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00065127,00001733,00000138,00000325,00000134,00026489,00024075,00000277,00000693,00000541,00000157,00005297,00002145,00000899,00000000,00001598,00000000,00000000,00000000,00000685,00000000,00000158,00000000,00000313,00000223,00000179,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00048837,00003133,00000282,00000538,00000128,00019416,00020965,00000314,00000675,00000677,00000242,00004202,00002086,00000723,00000000,00000910,00000000,00000000,00000000,00000670,00000000,00000142,00000000,00000154,00000130,00000162,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00095536,00008721,00000482,00001443,00000126,00040406,00058030,00000370,00001246,00001304,00000230,00009672,00004352,00002154,00000000,00001877,00000000,00000000,00000000,00003343,00000000,00000538,00000000,00000462,00000388,00000400,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00072793,00003056,00000398,00000665,00000059,00033482,00033504,00000293,00001135,00000605,00000077,00006938,00002593,00001081,00000000,00002003,00000000,00000000,00000000,00002047,00000000,00000237,00000000,00000226,00000194,00000184,                                                                                                    
R082,28TH STREET & BROADWAY        ,00038227,00001533,00000192,00000346,00000032,00018231,00022468,00000132,00000489,00000374,00000028,00003012,00001383,00000858,00000000,00000976,00000000,00000000,00000000,00000564,00000000,00000101,00000000,00000147,00000121,00000120,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00064450,00002981,00000292,00000614,00000103,00028159,00037529,00000424,00000873,00000464,00000089,00005835,00002669,00001388,00000000,00001415,00000000,00000000,00000000,00002291,00000000,00000170,00000000,00000416,00000252,00000427,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00202036,00016338,00001206,00003204,00000331,00096351,00108073,00000580,00002050,00002669,00000624,00014072,00008163,00004052,00000000,00004303,00000000,00000000,00000000,00016568,00000000,00003168,00000000,00002019,00001612,00001477,                                                                                                    
R085,8TH STREET & BROADWAY         ,00048149,00003179,00000191,00000471,00000039,00018103,00026387,00000117,00000621,00000379,00000061,00004582,00001807,00000862,00000000,00001118,00000000,00000000,00000000,00001835,00000000,00000113,00000000,00000111,00000110,00000153,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00040150,00001612,00000138,00000278,00000032,00017328,00019925,00000118,00000458,00000260,00000047,00003024,00001226,00000664,00000000,00001055,00000000,00000000,00000000,00000851,00000000,00000178,00000000,00000143,00000113,00000144,                                                                                                    
R087,CITY HALL                     ,00015597,00001122,00000106,00000268,00000004,00006220,00009494,00000134,00000221,00000190,00000026,00000954,00000687,00000399,00000000,00000262,00000000,00000000,00000000,00001504,00000000,00000316,00000000,00000079,00000051,00000070,                                                                                                    
R088,CORTLANDT STREET              ,00070212,00002061,00000178,00000416,00000046,00023494,00027208,00000231,00001067,00000408,00000054,00005550,00002386,00001163,00000000,00001856,00000000,00000000,00000000,00001457,00000000,00000495,00000000,00000183,00000125,00000146,                                                                                                    
R089,JAY ST-METROTECH              ,00010621,00000544,00000046,00000108,00000013,00004309,00006755,00000071,00000154,00000138,00000012,00000963,00000419,00000201,00000000,00000256,00000000,00000000,00000000,00000934,00000000,00000119,00000000,00000096,00000054,00000059,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00006661,00000376,00000087,00000096,00000004,00006389,00004081,00000011,00000036,00000196,00000003,00000477,00000150,00000159,00000000,00000258,00000000,00000000,00000000,00000366,00000000,00000028,00000000,00000066,00000045,00000074,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,00013147,00000893,00000093,00000153,00000008,00008412,00011258,00000014,00000118,00000356,00000010,00001228,00000380,00000370,00000000,00000212,00000000,00000000,00000000,00002869,00000000,00000153,00000000,00000134,00000115,00000146,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00023674,00001634,00000146,00000384,00000009,00013161,00023277,00000015,00000269,00000616,00000006,00003156,00000755,00000948,00000000,00000355,00000000,00000000,00000000,00003808,00000000,00000174,00000000,00000116,00000059,00000117,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00040002,00002134,00000254,00000487,00000020,00022367,00034782,00000047,00000332,00001057,00000020,00005268,00001211,00001383,00000000,00000550,00000000,00000000,00000000,00003526,00000000,00000326,00000000,00000259,00000202,00000237,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00041264,00002311,00000226,00000403,00000018,00021418,00033408,00000033,00000475,00001189,00000008,00004499,00001255,00001164,00000000,00000399,00000000,00000000,00000000,00004375,00000000,00000297,00000000,00000226,00000124,00000187,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00031604,00003364,00000576,00000821,00000004,00029980,00019198,00000027,00000131,00001407,00000006,00001420,00000365,00000380,00000000,00000324,00000000,00000000,00000000,00005475,00000000,00000724,00000000,00000291,00000278,00000261,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00046127,00001683,00000350,00000543,00000007,00047871,00018797,00000016,00000080,00000922,00000005,00001073,00000287,00000384,00000000,00000258,00000000,00000000,00000000,00008686,00000000,00001021,00000000,00000470,00000239,00000276,                                                                                                    
R098,CHURCH AVENUE                 ,00027805,00002308,00000583,00000874,00000017,00024410,00023069,00000028,00000200,00000944,00000000,00003235,00000353,00000724,00000000,00000313,00000000,00000000,00000000,00005726,00000000,00000659,00000000,00000457,00000443,00000371,                                                                                                    
R099,DEKALB AVENUE                 ,00041934,00002603,00000499,00001252,00000043,00021486,00036123,00000078,00000523,00000597,00000044,00005650,00001625,00001201,00000000,00000598,00000000,00000000,00000000,00011737,00000000,00000432,00000000,00000579,00000506,00000814,                                                                                                    
R100,METROPOLITAN AVENUE           ,00006325,00000345,00000082,00000181,00000001,00004078,00004182,00000011,00000071,00000154,00000000,00000406,00000154,00000040,00000000,00000040,00000000,00000000,00000000,00001861,00000000,00000151,00000000,00000078,00000075,00000091,                                                                                                    
R101,145TH STREET                  ,00039780,00002460,00000550,00000899,00000016,00042310,00040042,00000060,00000162,00000874,00000023,00004233,00000796,00001164,00000000,00000648,00000000,00000000,00000000,00008044,00000000,00000662,00000000,00001284,00001223,00001306,                                                                                                    
R102,125TH STREET                  ,00050983,00003695,00000993,00001399,00000049,00046920,00039695,00000106,00000265,00001752,00000044,00005009,00001117,00001285,00000000,00000813,00000000,00000000,00000000,00009271,00000000,00000762,00000000,00001222,00001691,00001069,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00017731,00001050,00000392,00000549,00000001,00017332,00008765,00000022,00000049,00000657,00000010,00000846,00000099,00000108,00000000,00000233,00000000,00000000,00000000,00002539,00000000,00000405,00000000,00000493,00000650,00000316,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00015453,00000966,00000234,00000280,00000006,00017873,00008508,00000008,00000039,00000641,00000005,00001145,00000106,00000155,00000000,00000084,00000000,00000000,00000000,00004297,00000000,00000608,00000000,00000522,00000828,00000592,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00060089,00006457,00000532,00001339,00000064,00029201,00034202,00000146,00000810,00000689,00000148,00005489,00002710,00001252,00000000,00001319,00000000,00000000,00000000,00004480,00000000,00000241,00000000,00000271,00000334,00000265,                                                                                                    
R106,CASTLE HILL AVENUE            ,00012161,00000739,00000131,00000202,00000000,00009447,00006123,00000018,00000065,00000309,00000000,00000875,00000063,00000079,00000000,00000074,00000000,00000000,00000000,00003600,00000000,00000413,00000000,00000330,00000383,00000232,                                                                                                    
R107,WESTCHESTER SQUARE            ,00009621,00000664,00000183,00000243,00000000,00008056,00005598,00000089,00000055,00000382,00000004,00000663,00000138,00000104,00000000,00000047,00000000,00000000,00000000,00003497,00000000,00000241,00000000,00000260,00000276,00000173,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00074635,00008341,00000714,00001592,00000167,00032416,00048674,00000381,00000762,00001443,00000362,00007435,00002628,00001689,00000000,00000908,00000000,00000000,00000000,00008435,00000000,00001295,00000000,00001014,00000734,00000550,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00018064,00001450,00000448,00000527,00000001,00014657,00010645,00000007,00000086,00000839,00000006,00001421,00000143,00000268,00000000,00000166,00000000,00000000,00000000,00003638,00000000,00000411,00000000,00000293,00000274,00000164,                                                                                                    
