     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/07/2019-12/13/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R001,WHITEHALL STREET              ,00075355,00003429,00000500,00001284,00000168,00034244,00034156,00000526,00000915,00000867,00000383,00006468,00002714,00000917,00000000,00001859,00000000,00000000,00000000,00004120,00000000,00000858,00000000,00000412,00000382,00000325,                                                                                                    
R003,CYPRESS HILLS                 ,00002674,00000152,00000010,00000028,00000000,00002123,00001053,00000002,00000005,00000074,00000005,00000066,00000034,00000031,00000000,00000033,00000000,00000000,00000000,00000932,00000000,00000084,00000000,00000076,00000032,00000045,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00006233,00000429,00000031,00000115,00000002,00004283,00002772,00000002,00000028,00000225,00000005,00000242,00000064,00000091,00000000,00000044,00000000,00000000,00000000,00004652,00000000,00000134,00000000,00000099,00000148,00000072,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00007129,00000555,00000063,00000159,00000000,00004412,00003419,00000000,00000042,00000202,00000001,00000215,00000086,00000068,00000000,00000054,00000000,00000000,00000000,00001933,00000000,00000167,00000000,00000155,00000069,00000105,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00007270,00000517,00000082,00000172,00000004,00006279,00004113,00000008,00000070,00000223,00000007,00000296,00000108,00000042,00000000,00000064,00000000,00000000,00000000,00003032,00000000,00000213,00000000,00000124,00000142,00000093,                                                                                                    
R007,104TH STREET                  ,00004745,00000282,00000021,00000059,00000000,00003382,00001934,00000001,00000015,00000168,00000001,00000134,00000064,00000026,00000000,00000071,00000000,00000000,00000000,00001557,00000000,00000122,00000000,00000108,00000035,00000050,                                                                                                    
R008,111TH STREET                  ,00004006,00000209,00000041,00000080,00000007,00002586,00001426,00000005,00000031,00000102,00000001,00000110,00000036,00000030,00000000,00000025,00000000,00000000,00000000,00001657,00000000,00000097,00000000,00000048,00000042,00000057,                                                                                                    
R009,121ST STREET                  ,00003845,00000258,00000039,00000083,00000000,00002742,00001953,00000003,00000027,00000092,00000000,00000133,00000043,00000035,00000000,00000038,00000000,00000000,00000000,00000855,00000000,00000117,00000000,00000053,00000040,00000056,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00096482,00005698,00000465,00001244,00000123,00051636,00044972,00000510,00000774,00001348,00000125,00005709,00002667,00001603,00000000,00003287,00000000,00000000,00000000,00007652,00000000,00000511,00000000,00000533,00000504,00000518,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00265490,00012517,00000816,00001750,00000143,00053145,00062687,00000317,00002528,00005626,00000067,00007284,00008881,00002373,00000000,00003796,00000000,00000001,00000000,00003509,00000000,00000546,00000000,00000732,00000501,00000568,                                                                                                    
