     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/15/2018-12/21/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00068502,00002879,00000458,00001035,00000216,00029877,00032679,00000000,00000000,00000000,00000502,00001014,00000738,00000358,00006265,00002325,00000859,00000000,00001448,00000000,00000000,00000000,00003511,00000000,00000683,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00002941,00000174,00000025,00000047,00000000,00002456,00001159,00000000,00000000,00000000,00000000,00000007,00000080,00000004,00000093,00000032,00000035,00000000,00000015,00000000,00000000,00000000,00000794,00000000,00000074,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007144,00000468,00000071,00000153,00000000,00005355,00003582,00000000,00000000,00000000,00000004,00000069,00000212,00000002,00000337,00000053,00000065,00000000,00000070,00000000,00000000,00000000,00003193,00000000,00000104,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008360,00000573,00000076,00000223,00000000,00005405,00004061,00000000,00000000,00000000,00000004,00000062,00000244,00000004,00000287,00000068,00000059,00000000,00000082,00000000,00000000,00000000,00001754,00000000,00000193,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008587,00000561,00000091,00000231,00000000,00008083,00005016,00000000,00000000,00000000,00000006,00000082,00000222,00000007,00000410,00000095,00000079,00000000,00000083,00000000,00000000,00000000,00002283,00000000,00000198,00000000,                                                                                                    
R007,104TH STREET                  ,00002886,00000197,00000009,00000039,00000000,00002058,00001397,00000000,00000000,00000000,00000000,00000024,00000061,00000000,00000086,00000016,00000018,00000000,00000025,00000000,00000000,00000000,00000615,00000000,00000064,00000000,                                                                                                    
R008,111TH STREET                  ,00006019,00000310,00000056,00000126,00000006,00004247,00002508,00000000,00000000,00000000,00000003,00000027,00000150,00000002,00000209,00000077,00000032,00000000,00000047,00000000,00000000,00000000,00001707,00000000,00000112,00000000,                                                                                                    
R009,121ST STREET                  ,00003541,00000284,00000031,00000107,00000001,00003088,00001764,00000000,00000000,00000000,00000000,00000039,00000100,00000001,00000126,00000035,00000030,00000000,00000034,00000000,00000000,00000000,00000550,00000000,00000067,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00091840,00005193,00000498,00001145,00000135,00047044,00042998,00000000,00000000,00000000,00000539,00000912,00001248,00000115,00005308,00002368,00001249,00000000,00002556,00000000,00000000,00000000,00007203,00000000,00000585,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00251081,00011234,00000734,00001711,00000131,00049207,00061348,00000000,00000000,00000000,00000311,00002737,00005007,00000077,00007147,00007435,00001986,00000000,00003396,00000000,00000000,00000000,00002819,00000000,00000464,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00216085,00009353,00000707,00001496,00003106,00045885,00058725,00000001,00000000,00000000,00000318,00002408,00003014,00003962,00007497,00008686,00002053,00000000,00003584,00000000,00000000,00000000,00003174,00000000,00000645,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00057524,00002583,00000243,00000724,00000746,00019169,00025660,00000000,00000000,00000000,00000252,00000893,00000522,00001287,00003618,00002484,00000835,00000000,00001172,00000000,00000000,00000000,00001060,00000000,00000265,00000000,                                                                                                    
