     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/09/2012-06/15/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R021,42ND STREET & 6TH AVENUE      ,00105267,00004129,00000282,00001147,00000150,00029279,00082233,00000000,00000000,00000000,00000000,00001688,00000000,00000197,00004716,00001502,00000731,00000000,00000698,00000000,00000000,00000000,00000000,                                                                                                                               
R022,34TH STREET & 6TH AVENUE      ,00194155,00008083,00000751,00002016,00000884,00064808,00129538,00000000,00000000,00000000,00000000,00001715,00000000,00001200,00006593,00001623,00000856,00000000,00001229,00000000,00000000,00000000,00000000,                                                                                                                               
R023,34TH STREET & 6TH AVENUE      ,00162757,00005798,00000548,00001429,00000689,00034605,00091004,00000000,00000000,00000000,00000000,00001631,00000000,00001161,00003470,00002163,00000910,00000000,00000822,00000000,00000000,00000000,00000000,                                                                                                                               
R024,SUTPHIN BOULEVARD             ,00052059,00001992,00000330,00000662,00000420,00025750,00024972,00000000,00000000,00000000,00000000,00000126,00000000,00000663,00001409,00000341,00000107,00000000,00007866,00000000,00000000,00000000,00000000,                                                                                                                               
R025,JAMAICA CENTER-PARSONS BLVD   ,00069934,00001900,00000568,00001265,00000022,00046889,00041956,00000000,00000000,00000000,00000000,00000208,00000000,00000037,00003348,00000144,00000146,00000000,00000459,00000000,00000000,00000000,00000000,                                                                                                                               
R027,WALL STREET                   ,00075148,00002244,00000109,00000489,00002503,00011978,00048887,00000000,00000000,00000000,00000000,00000896,00000000,00005154,00002382,00001401,00000444,00000000,00000399,00000000,00000000,00000000,00000000,                                                                                                                               
R028,FULTON & WILLIAM STREETS      ,00063928,00002793,00000249,00000726,00000594,00018175,00046107,00000000,00000000,00000000,00000000,00000519,00000000,00001222,00002582,00000712,00000456,00000000,00000439,00000000,00000000,00000000,00000000,                                                                                                                               
R029,PARK PLACE                    ,00164813,00005262,00000395,00001230,00001499,00030842,00083745,00000000,00000000,00000000,00000000,00001436,00000000,00002756,00002777,00002085,00000960,00000000,00001273,00000000,00000000,00000000,00000000,                                                                                                                               
R030,CHAMBERS STREET               ,00055610,00002279,00000185,00000568,00000806,00013516,00038245,00000000,00000000,00000000,00000000,00000599,00000000,00001753,00001284,00000864,00000317,00000000,00000284,00000000,00000000,00000000,00000000,                                                                                                                               
R031,34TH STREET & 7TH AVENUE      ,00110073,00005070,00000323,00000999,00002452,00025967,00045070,00000000,00000000,00000000,00000000,00000773,00000000,00005014,00002854,00001816,00000477,00000000,00000566,00000000,00000000,00000000,00000000,                                                                                                                               
R032,42ND STREET/TIMES SQUARE      ,00093684,00003389,00000259,00000853,00000208,00023157,00073462,00000000,00000000,00000000,00000000,00001150,00000000,00000210,00003469,00001353,00000617,00000000,00000419,00000000,00000000,00000000,00000000,                                                                                                                               
R033,42ND STREET/TIMES SQUARE      ,00216011,00006769,00000553,00001590,00000777,00080901,00104192,00000000,00000000,00000000,00000000,00001250,00000000,00000929,00004874,00001869,00000905,00000000,00001929,00000000,00000000,00000000,00000000,                                                                                                                               
R034,125TH STREET & BROADWAY       ,00018125,00001116,00000155,00000357,00000031,00009039,00016531,00000000,00000000,00000000,00000000,00000073,00000000,00000033,00000721,00000197,00000103,00000000,00000140,00000000,00000000,00000000,00000000,                                                                                                                               
