     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/08/2019-06/14/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R001,WHITEHALL STREET              ,00076991,00003608,00000503,00001123,00000188,00034717,00037858,00000477,00000925,00001115,00000398,00006586,00002568,00000938,00000000,00001836,00000000,00000000,00000000,00003288,00000000,00000068,00000000,00000129,00000225,00000203,                                                                                                    
R003,CYPRESS HILLS                 ,00002997,00000185,00000025,00000045,00000000,00002557,00001147,00000001,00000007,00000119,00000004,00000070,00000030,00000030,00000000,00000059,00000000,00000000,00000000,00000780,00000000,00000015,00000000,00000040,00000046,00000030,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007489,00000478,00000072,00000166,00000000,00005206,00003550,00000000,00000038,00000274,00000005,00000363,00000077,00000087,00000000,00000057,00000000,00000000,00000000,00003061,00000000,00000031,00000000,00000082,00000075,00000054,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008457,00000613,00000071,00000241,00000004,00005469,00004232,00000007,00000043,00000254,00000001,00000258,00000074,00000061,00000000,00000063,00000000,00000000,00000000,00001662,00000000,00000063,00000000,00000074,00000047,00000066,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008182,00000605,00000105,00000215,00000001,00007669,00004973,00000014,00000060,00000300,00000006,00000361,00000088,00000074,00000000,00000090,00000000,00000000,00000000,00002013,00000000,00000035,00000000,00000065,00000106,00000045,                                                                                                    
R007,104TH STREET                  ,00006910,00000431,00000040,00000091,00000004,00004688,00002819,00000005,00000056,00000160,00000004,00000192,00000057,00000055,00000000,00000074,00000000,00000000,00000000,00001565,00000000,00000032,00000000,00000053,00000035,00000020,                                                                                                    
R008,111TH STREET                  ,00001131,00000076,00000021,00000037,00000004,00000907,00000502,00000002,00000003,00000019,00000000,00000044,00000015,00000016,00000000,00000017,00000000,00000000,00000000,00000477,00000000,00000007,00000000,00000017,00000004,00000007,                                                                                                    
R009,121ST STREET                  ,00004989,00000379,00000049,00000106,00000009,00004070,00002280,00000005,00000036,00000197,00000002,00000164,00000056,00000049,00000000,00000064,00000000,00000000,00000000,00000799,00000000,00000008,00000000,00000023,00000019,00000045,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00092806,00005610,00000492,00001146,00000094,00051452,00048102,00000553,00000860,00001524,00000120,00005484,00002262,00001495,00000000,00003019,00000000,00000000,00000000,00006244,00000000,00000120,00000000,00000312,00000311,00000318,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00249863,00012061,00000685,00001864,00000088,00051611,00066480,00000341,00002563,00005723,00000064,00007105,00007554,00002094,00000000,00003705,00000000,00000000,00000000,00002981,00000000,00000119,00000000,00000346,00000284,00000333,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00211455,00009583,00000667,00001580,00002161,00045446,00065129,00000332,00002013,00003359,00003817,00007742,00008703,00002311,00000000,00003951,00000000,00000000,00000000,00003052,00000000,00000086,00000000,00000409,00000401,00000306,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00054983,00002387,00000278,00000658,00000537,00020014,00029317,00000276,00000716,00000588,00001284,00004088,00002310,00000859,00000000,00001259,00000000,00000000,00000000,00001027,00000000,00000047,00000000,00000173,00000135,00000181,                                                                                                    
R014,FULTON STREET                 ,00171022,00005749,00000465,00001188,00000625,00058379,00085095,00000682,00002495,00001205,00001312,00014251,00005300,00002507,00000000,00003198,00000000,00000000,00000000,00006483,00000000,00000087,00000000,00000467,00000437,00000357,                                                                                                    
R015,FIFTH AVENUE                  ,00079772,00003641,00000172,00000488,00000555,00018971,00031769,00000221,00001906,00000561,00000963,00005381,00004713,00001082,00000000,00001431,00000000,00000000,00000000,00000671,00000000,00000068,00000000,00000061,00000063,00000101,                                                                                                    
R016,LEXINGTON AVENUE              ,00019249,00001065,00000068,00000155,00000061,00005453,00010574,00000062,00000403,00000119,00000100,00001561,00000884,00000345,00000000,00000301,00000000,00000000,00000000,00000305,00000000,00000012,00000000,00000045,00000051,00000049,                                                                                                    
R017,LEXINGTON AVENUE              ,00097233,00006186,00000360,00000977,00000407,00027292,00051599,00000239,00001794,00001095,00000884,00007295,00004817,00001801,00000000,00001776,00000000,00000002,00000000,00004182,00000000,00000067,00000000,00000169,00000142,00000156,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00094595,00008491,00001539,00003630,00000021,00077968,00093381,00000076,00000629,00002856,00000041,00007364,00001516,00001619,00000000,00001305,00000000,00000000,00000000,00009259,00000000,00000696,00000000,00000368,00000361,00000653,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00030602,00002280,00000525,00001087,00000007,00020929,00024730,00000050,00000553,00001022,00000018,00002830,00000624,00000301,00000000,00000240,00000000,00000000,00000000,00003718,00000000,00000141,00000000,00000127,00000184,00000132,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00155892,00009232,00000566,00001483,00000461,00061136,00088242,00000494,00003597,00001588,00000571,00016367,00006274,00002870,00000000,00002817,00000000,00000000,00000000,00002693,00000000,00000161,00000000,00000599,00000359,00000388,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00103765,00005085,00000516,00001300,00000126,00044909,00074083,00000604,00002389,00001004,00000109,00010896,00004116,00002212,00000000,00001906,00000000,00000000,00000000,00002267,00000000,00000152,00000000,00000373,00000295,00000307,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00189953,00010313,00000935,00002391,00000549,00086120,00111386,00000825,00002279,00002931,00000764,00014128,00005406,00002917,00000000,00003715,00000001,00000000,00000000,00004886,00000000,00000332,00000000,00000747,00000734,00000732,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00146524,00007651,00000674,00001513,00000450,00046494,00080849,00000297,00002518,00001756,00000588,00009789,00005624,00002723,00000000,00002005,00000000,00000000,00000000,00002766,00000000,00000171,00000000,00000406,00000288,00000355,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00041837,00002439,00000455,00000757,00000203,00031006,00018415,00000037,00000245,00001147,00000329,00001734,00000868,00000318,00000000,00011367,00000000,00000000,00000000,00002892,00000000,00000210,00000000,00000168,00000347,00000167,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00040497,00002031,00000832,00001414,00000013,00045026,00026902,00000070,00000239,00001527,00000023,00004123,00000712,00000378,00000000,00000422,00000000,00000000,00000000,00006526,00000000,00000319,00000000,00000325,00000561,00000343,                                                                                                    
R027,WALL STREET                   ,00065502,00003016,00000152,00000534,00000638,00017086,00037784,00000174,00001028,00000409,00001426,00005471,00002974,00001246,00000000,00001062,00000000,00000000,00000000,00001537,00000000,00000044,00000000,00000090,00000066,00000084,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00068072,00004440,00000410,00001185,00000242,00027162,00047376,00000194,00000931,00000751,00000529,00008299,00002350,00001402,00000000,00001406,00000000,00000000,00000000,00002916,00000000,00000048,00000000,00000255,00000212,00000223,                                                                                                    
R029,PARK PLACE                    ,00130094,00006072,00000527,00001335,00000548,00039711,00064254,00001346,00001909,00001472,00001123,00010130,00004570,00002483,00000000,00002636,00000000,00000000,00000000,00006588,00000000,00000095,00000000,00000309,00000219,00000247,                                                                                                    
R030,CHAMBERS STREET               ,00046167,00003105,00000295,00000568,00000344,00015784,00026854,00000198,00000749,00000580,00000742,00004268,00002272,00000948,00000000,00000663,00000000,00000000,00000000,00009589,00000000,00000036,00000000,00000143,00000127,00000102,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00108527,00006123,00000457,00001030,00001225,00028371,00036003,00000274,00001117,00001231,00002670,00005254,00005111,00001257,00000000,00001249,00000000,00000000,00000000,00002836,00000000,00000047,00000000,00000298,00000331,00000296,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00100552,00005284,00000422,00001312,00000162,00038388,00070330,00000334,00001962,00000670,00000114,00008889,00004069,00002245,00000000,00001621,00000000,00000000,00000000,00001523,00000000,00000078,00000000,00000245,00000269,00000298,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00173562,00009744,00000813,00001757,00000400,00081839,00073925,00001206,00001978,00003336,00000400,00011041,00004695,00002409,00000000,00003753,00000000,00000000,00000000,00005584,00000000,00000263,00000000,00000453,00000484,00000439,                                                                                                    
R034,125TH STREET & BROADWAY       ,00015860,00001675,00000184,00000408,00000015,00009512,00012138,00000032,00000105,00000493,00000032,00001186,00000509,00000308,00000000,00000286,00000000,00000000,00000000,00001938,00000000,00000018,00000000,00000128,00000213,00000109,                                                                                                    
R035,168TH STREET & BROADWAY       ,00043825,00003594,00000406,00000695,00000051,00025132,00033014,00000100,00000332,00001365,00000110,00003376,00001324,00001124,00000000,00000616,00000000,00000000,00000000,00004269,00000000,00000056,00000000,00000315,00000437,00000273,                                                                                                    
R036,DYCKMAN STREET                ,00013550,00001805,00000215,00000377,00000006,00012566,00008705,00000016,00000062,00000946,00000003,00000879,00000135,00000149,00000000,00000112,00000000,00000000,00000000,00002771,00000000,00000015,00000000,00000272,00000331,00000185,                                                                                                    
R037,207TH STREET                  ,00008318,00000883,00000206,00000227,00000001,00012651,00006573,00000023,00000020,00000617,00000007,00000711,00000088,00000062,00000000,00000091,00000000,00000000,00000000,00001979,00000000,00000021,00000000,00000124,00000291,00000179,                                                                                                    
R038,215TH STREET                  ,00003629,00000494,00000028,00000132,00000004,00002316,00002892,00000008,00000046,00000128,00000009,00000335,00000090,00000085,00000000,00000041,00000000,00000000,00000000,00000480,00000000,00000003,00000000,00000040,00000058,00000031,                                                                                                    
R039,225TH STREET                  ,00010535,00000865,00000096,00000160,00000037,00008152,00005211,00000015,00000046,00000362,00000042,00000597,00000169,00000150,00000000,00000070,00000000,00000000,00000000,00002206,00000000,00000010,00000000,00000152,00000277,00000132,                                                                                                    
R040,231ST STREET                  ,00016510,00002094,00000284,00000689,00000011,00013226,00011525,00000115,00000091,00000991,00000012,00001506,00000324,00000173,00000000,00000098,00000000,00000000,00000000,00002535,00000000,00000021,00000000,00000197,00000346,00000181,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00047711,00003171,00000366,00000774,00000343,00020208,00029332,00001581,00000711,00000730,00000696,00005152,00001951,00000822,00000000,00000825,00000000,00000000,00000000,00003596,00000000,00000035,00000000,00000173,00000199,00000141,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00012755,00000564,00000064,00000107,00000055,00008403,00005002,00000246,00000097,00000137,00000097,00000663,00000361,00000129,00000000,00000377,00000000,00000000,00000000,00000656,00000000,00000011,00000000,00000032,00000066,00000041,                                                                                                    
R043,WALL STREET                   ,00046920,00002463,00000161,00000420,00000271,00016126,00029753,00000889,00000691,00000364,00000793,00003833,00001678,00000917,00000000,00000740,00000000,00000000,00000000,00001804,00000000,00000025,00000000,00000131,00000131,00000111,                                                                                                    
R044,BROOKLYN BRIDGE               ,00073264,00005450,00000349,00001229,00000240,00029950,00041445,00000389,00000855,00001030,00000660,00006266,00002264,00001205,00000000,00001382,00000000,00000000,00000000,00004688,00000000,00000055,00000000,00000283,00000290,00000198,                                                                                                    
